,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,77.0,,,,,77.0,28.0,36.36363636363637
1,,176.0,,,,176.0,67.0,38.06818181818182
2,,,298.0,,,298.0,144.0,48.322147651006716
3,,,,283.0,,283.0,207.0,73.14487632508833
4,,,,,456.0,456.0,300.0,65.78947368421053
5,77.0,176.0,,,,253.0,6.0,2.371541501976284
6,77.0,,298.0,,,375.0,12.0,3.2
7,77.0,,,283.0,,360.0,3.0,0.8333333333333334
8,77.0,,,,456.0,533.0,8.0,1.5009380863039399
9,,176.0,298.0,,,474.0,45.0,9.49367088607595
10,,176.0,,283.0,,459.0,2.0,0.4357298474945534
11,,176.0,,,456.0,632.0,24.0,3.79746835443038
12,,,298.0,283.0,,581.0,14.0,2.4096385542168677
13,,,298.0,,456.0,754.0,44.0,5.835543766578249
14,,,,283.0,456.0,739.0,39.0,5.2774018944519625
15,77.0,176.0,298.0,,,551.0,4.0,0.7259528130671506
16,77.0,176.0,,283.0,,536.0,0.0,0.0
17,77.0,176.0,,,456.0,709.0,4.0,0.5641748942172073
18,77.0,,298.0,283.0,,658.0,1.0,0.1519756838905775
19,77.0,,298.0,,456.0,831.0,2.0,0.24067388688327318
20,77.0,,,283.0,456.0,816.0,2.0,0.24509803921568626
21,,176.0,298.0,283.0,,757.0,1.0,0.13210039630118892
22,,176.0,298.0,,456.0,930.0,14.0,1.5053763440860215
23,,176.0,,283.0,456.0,915.0,2.0,0.2185792349726776
24,,,298.0,283.0,456.0,1037.0,9.0,0.8678881388621021
25,77.0,176.0,298.0,283.0,,834.0,0.0,0.0
26,77.0,176.0,298.0,,456.0,1007.0,5.0,0.49652432969215493
27,77.0,176.0,,283.0,456.0,992.0,0.0,0.0
28,77.0,,298.0,283.0,456.0,1114.0,1.0,0.08976660682226212
29,,176.0,298.0,283.0,456.0,1213.0,1.0,0.08244023083264633
30,77.0,176.0,298.0,283.0,456.0,1290.0,1.0,0.07751937984496124
