,Motif,Observed,Expected
0,,0.0,0
1,rsp,28.0,51
2,pm,67.0,51
3,am,144.0,51
4,al,207.0,51
5,lm,300.0,51
6,rsp+pm,6.0,12
7,rsp+am,12.0,12
8,rsp+al,3.0,12
9,rsp+lm,8.0,12
10,pm+am,45.0,12
11,pm+al,2.0,12
12,pm+lm,24.0,12
13,am+al,14.0,12
14,am+lm,44.0,12
15,al+lm,39.0,12
16,rsp+pm+am,4.0,3
17,rsp+pm+al,0.0,3
18,rsp+pm+lm,4.0,3
19,rsp+am+al,1.0,3
20,rsp+am+lm,2.0,3
21,rsp+al+lm,2.0,3
22,pm+am+al,1.0,3
23,pm+am+lm,14.0,3
24,pm+al+lm,2.0,3
25,am+al+lm,9.0,3
26,rsp+pm+am+al,0.0,0
27,rsp+pm+am+lm,5.0,0
28,rsp+pm+al+lm,0.0,0
29,rsp+am+al+lm,1.0,0
30,pm+am+al+lm,1.0,0
31,rsp+pm+am+al+lm,1.0,0
