Motifs,Observed,Expected,Expected SD,Effect Size,P-value,Degree,Group
[''],0.0,0,7.013074983290456,0.0,1e-10,0,2
['rsp'],28.0,51,7.013074983290456,-0.8673378686479657,0.0003388921125734896,1,2
['pm'],67.0,51,7.013074983290456,0.3621439774748016,0.038188933437958796,1,3
['am'],144.0,51,7.013074983290456,1.4545902262393966,1e-10,1,1
['al'],207.0,51,7.013074983290456,1.9751208543655543,1e-10,1,1
['lm'],300.0,51,7.013074983290456,2.508300812984164,1e-10,1,1
"['rsp', 'pm']",6.0,12,3.5785537993829863,-0.9975378991420896,0.0493434705171927,2,4
"['rsp', 'am']",12.0,12,3.5785537993829863,-0.10445310305860152,1.0,2,4
"['rsp', 'al']",3.0,12,3.5785537993829863,-1.8048928211996935,0.0018805145309685682,2,4
"['rsp', 'lm']",8.0,12,3.5785537993829863,-0.6349678197573814,0.2061239228736556,2,4
"['pm', 'am']",45.0,12,3.5785537993829863,1.7186691348573193,1e-10,2,1
"['pm', 'al']",2.0,12,3.5785537993829863,-2.2199303204785372,0.0003907102698543386,2,2
"['pm', 'lm']",24.0,12,3.5785537993829863,0.838963368575031,0.0046693695266690136,2,3
"['am', 'al']",14.0,12,3.5785537993829863,0.10199777440882495,0.7785745783267124,2,3
"['am', 'lm']",44.0,12,3.5785537993829863,1.686960275129981,1e-10,2,1
"['al', 'lm']",39.0,12,3.5785537993829863,1.5170352736876687,3.069251705520691e-09,2,1
"['rsp', 'pm', 'am']",4.0,3,1.7981662759440245,0.236492560673501,0.5724352184303046,3,3
"['rsp', 'pm', 'al']",0.0,3,1.7981662759440245,-2.0854355342138615,0.08586112868446175,3,4
"['rsp', 'pm', 'lm']",4.0,3,1.7981662759440245,0.236492560673501,0.5724352184303046,3,3
"['rsp', 'am', 'al']",1.0,3,1.7981662759440245,-1.0854355342138615,0.39212627163142255,3,4
"['rsp', 'am', 'lm']",2.0,3,1.7981662759440245,-0.5004730334927051,0.7777280050297402,3,4
"['rsp', 'al', 'lm']",2.0,3,1.7981662759440245,-0.5004730334927051,0.7777280050297402,3,4
"['pm', 'am', 'al']",1.0,3,1.7981662759440245,-1.0854355342138615,0.39212627163142255,3,4
"['pm', 'am', 'lm']",14.0,3,1.7981662759440245,1.8214550613946572,7.692785232804313e-06,3,1
"['pm', 'al', 'lm']",2.0,3,1.7981662759440245,-0.5004730334927051,0.7777280050297402,3,4
"['am', 'al', 'lm']",9.0,3,1.7981662759440245,1.236492560673501,0.0061277596531676545,3,3
"['rsp', 'pm', 'am', 'al']",0.0,0,0.9001908810060233,-0.8567929193056598,1.0,4,4
"['rsp', 'pm', 'am', 'lm']",5.0,0,0.9001908810060233,1.7281695814154963,0.0014871523608059728,4,1
"['rsp', 'pm', 'al', 'lm']",0.0,0,0.9001908810060233,-0.8567929193056598,1.0,4,4
"['rsp', 'am', 'al', 'lm']",1.0,0,0.9001908810060233,0.14320708069434016,0.5557378089287537,4,3
"['pm', 'am', 'al', 'lm']",1.0,0,0.9001908810060233,0.14320708069434016,0.5557378089287537,4,3
"['rsp', 'pm', 'am', 'al', 'lm']",1.0,0,0.4502338019189587,0.7336608015878197,0.18353625021803852,5,3
