,Motif,Observed,Expected
0,,0.0,0
1,rsp,5.0,15
2,pm,22.0,15
3,am,48.0,15
4,al,2.0,15
5,lm,104.0,15
6,rsp+pm,2.0,3
7,rsp+am,1.0,3
8,rsp+al,0.0,3
9,rsp+lm,4.0,3
10,pm+am,16.0,3
11,pm+al,0.0,3
12,pm+lm,18.0,3
13,am+al,2.0,3
14,am+lm,35.0,3
15,al+lm,17.0,3
16,rsp+pm+am,0.0,0
17,rsp+pm+al,0.0,0
18,rsp+pm+lm,4.0,0
19,rsp+am+al,0.0,0
20,rsp+am+lm,0.0,0
21,rsp+al+lm,1.0,0
22,pm+am+al,0.0,0
23,pm+am+lm,9.0,0
24,pm+al+lm,2.0,0
25,am+al+lm,5.0,0
26,rsp+pm+am+al,0.0,0
27,rsp+pm+am+lm,3.0,0
28,rsp+pm+al+lm,0.0,0
29,rsp+am+al+lm,0.0,0
30,pm+am+al+lm,1.0,0
31,rsp+pm+am+al+lm,0.0,0
