,rsp,pm,am,al,lm
cell_93,0.0,0.0,0.0,0.07663551,1.0
cell_110,0.0,0.0,0.0,0.91962617,1.0
cell_122,0.0,0.0,0.0,0.30654206,1.0
cell_137,0.0,0.0,0.0,1.0,0.93205575
cell_202,0.0,0.0,0.0,1.0,0.46602787
cell_230,0.0,0.0,0.0,0.76635514,1.0
cell_251,0.0,0.0,0.0,1.0,0.93205575
cell_273,0.0,0.0,0.0,0.76635514,1.0
cell_290,0.0,0.0,0.0,0.30654206,1.0
cell_303,0.0,0.0,0.0,0.30654206,1.0
cell_318,0.0,0.0,0.0,0.82202189,1.0
cell_366,0.0,0.0,0.0,0.85895554,1.0
cell_368,0.0,0.0,0.0,1.0,0.79709224
cell_405,0.0,0.0,0.0,0.94828104,1.0
cell_434,0.0,0.0,0.0,0.79262253,1.0
cell_482,0.0,0.0,0.0,1.0,0.87537416
cell_486,0.0,0.0,0.0,1.0,0.81138629
cell_511,0.0,0.0,0.0,0.83788193,1.0
cell_513,0.0,0.0,0.0,0.6230823,1.0
cell_514,0.0,0.0,0.0,1.0,0.6353847
cell_663,0.0,0.0,0.0,1.0,0.35476486
cell_671,0.0,0.0,0.0,1.0,0.3619194
cell_700,0.0,0.0,0.0,1.0,0.46115819
cell_705,0.0,0.0,0.0,0.96375702,1.0
cell_706,0.0,0.0,0.0,0.21684533,1.0
cell_718,0.0,0.0,0.0,0.08559684,1.0
cell_724,0.0,0.0,0.0,1.0,0.24414257
cell_769,0.0,0.0,0.0,0.56219159,1.0
cell_770,0.0,0.0,0.0,0.20078271,1.0
cell_778,0.0,0.0,0.0,0.72281776,1.0
cell_794,0.0,0.0,0.0,0.03171718,1.0
cell_798,0.0,0.0,0.0,1.0,0.62885208
cell_874,0.0,0.0,0.0,0.19460478,1.0
cell_893,0.0,0.0,0.0,0.15488952,1.0
cell_937,0.0,0.0,0.0,0.0356947,1.0
cell_938,0.0,0.0,0.0,1.0,0.69173729
cell_942,0.0,0.0,0.0,0.21959021,1.0
cell_970,0.0,0.0,0.0,0.60234814,1.0
cell_980,0.0,0.0,0.0,1.0,0.45113301
