,rsp,pm,am,al,lm
cell_277,0.0,0.0,1.0,0.22647975,0.0
cell_330,0.0,0.0,0.32277664,1.0,0.0
cell_335,0.0,0.0,0.92629814,1.0,0.0
cell_337,0.0,0.0,0.43242088,1.0,0.0
cell_340,0.0,0.0,0.43964945,1.0,0.0
cell_387,0.0,0.0,0.51818273,1.0,0.0
cell_510,0.0,0.0,0.29913454,1.0,0.0
cell_538,0.0,0.0,0.95154485,1.0,0.0
cell_578,0.0,0.0,0.61314343,1.0,0.0
cell_589,0.0,0.0,0.1721253,1.0,0.0
cell_611,0.0,0.0,1.0,0.4809371,0.0
cell_639,0.0,0.0,0.72739184,1.0,0.0
cell_918,0.0,0.0,1.0,0.51761103,0.0
cell_943,0.0,0.0,1.0,0.06453332,0.0
