,rsp,pm,am,al,lm
cell_57,0.0,0.0,1.0,0.0,0.9220339
cell_112,0.0,0.0,0.60155892,0.0,1.0
cell_205,0.0,0.0,1.0,0.0,0.66493902
cell_225,0.0,0.0,0.45116919,0.0,1.0
cell_475,0.0,0.0,1.0,0.0,0.70221317
cell_525,0.0,0.0,0.79722087,0.0,1.0
cell_553,0.0,0.0,1.0,0.0,0.40019858
cell_657,0.0,0.0,0.62553562,0.0,1.0
cell_675,0.0,0.0,0.93094382,0.0,1.0
cell_699,0.0,0.0,0.42983812,0.0,1.0
cell_703,0.0,0.0,0.24936602,0.0,1.0
cell_704,0.0,0.0,1.0,0.0,0.58004237
cell_710,0.0,0.0,0.24356681,0.0,1.0
cell_712,0.0,0.0,0.15059752,0.0,1.0
cell_716,0.0,0.0,0.10070551,0.0,1.0
cell_721,0.0,0.0,1.0,0.0,0.06138015
cell_729,0.0,0.0,1.0,0.0,0.47097458
cell_743,0.0,0.0,0.13923459,0.0,1.0
cell_747,0.0,0.0,0.58185404,0.0,1.0
cell_799,0.0,0.0,0.07655974,0.0,1.0
cell_807,0.0,0.0,0.51837906,0.0,1.0
cell_810,0.0,0.0,1.0,0.0,0.17055246
cell_833,0.0,0.0,0.0306239,0.0,1.0
cell_835,0.0,0.0,0.41861897,0.0,1.0
cell_837,0.0,0.0,0.4760624,0.0,1.0
cell_844,0.0,0.0,0.22031367,0.0,1.0
cell_845,0.0,0.0,0.75403534,0.0,1.0
cell_861,0.0,0.0,0.49457594,0.0,1.0
cell_870,0.0,0.0,0.71115494,0.0,1.0
cell_880,0.0,0.0,0.54586307,0.0,1.0
cell_900,0.0,0.0,0.48487837,0.0,1.0
cell_904,0.0,0.0,0.61939301,0.0,1.0
cell_909,0.0,0.0,1.0,0.0,0.78120185
cell_915,0.0,0.0,0.03029175,0.0,1.0
cell_930,0.0,0.0,0.10119201,0.0,1.0
cell_940,0.0,0.0,1.0,0.0,0.25547412
cell_946,0.0,0.0,0.68764569,0.0,1.0
cell_955,0.0,0.0,0.05074309,0.0,1.0
cell_959,0.0,0.0,0.11008049,0.0,1.0
cell_964,0.0,0.0,1.0,0.0,0.7187057
cell_969,0.0,0.0,1.0,0.0,0.53918245
cell_977,0.0,0.0,1.0,0.0,0.46271186
cell_979,0.0,0.0,1.0,0.0,0.31607247
cell_988,0.0,0.0,1.0,0.0,0.66836158
