,rsp,pm,am,al,lm
cell_18,0.0,0.41578576,0.39438503,0.0,1.0
cell_34,0.0,0.70363745,0.58399321,0.0,1.0
cell_81,0.0,0.18278464,0.22558459,0.0,1.0
cell_84,0.0,1.0,0.35793738,0.0,0.14000384
cell_128,0.0,0.89986283,0.30077946,0.0,1.0
cell_694,0.0,0.10450598,0.10074505,0.0,1.0
cell_711,0.0,0.18228161,0.72996235,0.0,1.0
cell_715,0.0,1.0,0.90749507,0.0,0.36271186
cell_746,0.0,0.04617001,0.16077546,0.0,1.0
cell_791,0.0,0.20955705,1.0,0.0,0.68126432
cell_795,0.0,0.04741785,0.09435471,0.0,1.0
cell_819,0.0,0.86151232,1.0,0.0,0.40438684
cell_823,0.0,0.06516568,0.36656805,0.0,1.0
cell_824,0.0,1.0,0.432643,0.0,0.87050847
