,rsp,pm,am,al,lm
cell_2,0.0,1.0,0.20879121,0.0,0.0
cell_4,0.0,1.0,0.20299145,0.0,0.0
cell_28,0.0,0.39534884,1.0,0.0,0.0
cell_29,0.0,1.0,0.47426471,0.0,0.0
cell_76,0.0,0.74794239,1.0,0.0,0.0
cell_80,0.0,0.99725652,1.0,0.0,0.0
cell_83,0.0,1.0,0.70782426,0.0,0.0
cell_97,0.0,0.30797628,1.0,0.0,0.0
cell_102,0.0,1.0,0.98821841,0.0,0.0
cell_124,0.0,1.0,0.11956923,0.0,0.0
cell_126,0.0,0.9074301,1.0,0.0,0.0
cell_133,0.0,1.0,0.62393398,0.0,0.0
cell_157,0.0,0.40602587,1.0,0.0,0.0
cell_161,0.0,0.10436405,1.0,0.0,0.0
cell_162,0.0,0.1869856,1.0,0.0,0.0
cell_170,0.0,0.74794239,1.0,0.0,0.0
cell_176,0.0,0.59835391,1.0,0.0,0.0
cell_191,0.0,0.9723251,1.0,0.0,0.0
cell_216,0.0,0.87259945,1.0,0.0,0.0
cell_219,0.0,0.32722479,1.0,0.0,0.0
cell_221,0.0,0.48903925,1.0,0.0,0.0
cell_229,0.0,1.0,0.41138504,0.0,0.0
cell_237,0.0,1.0,0.52480428,0.0,0.0
cell_246,0.0,0.33997381,1.0,0.0,0.0
cell_274,0.0,0.79468879,1.0,0.0,0.0
cell_276,0.0,1.0,0.69756594,0.0,0.0
cell_286,0.0,0.11634659,1.0,0.0,0.0
cell_294,0.0,0.26489626,1.0,0.0,0.0
cell_296,0.0,1.0,0.77991747,0.0,0.0
cell_690,0.0,1.0,0.33855194,0.0,0.0
cell_709,0.0,1.0,0.3869165,0.0,0.0
cell_725,0.0,0.39159651,1.0,0.0,0.0
cell_730,0.0,0.62220334,1.0,0.0,0.0
cell_731,0.0,0.02075933,1.0,0.0,0.0
cell_735,0.0,1.0,0.85349228,0.0,0.0
cell_772,0.0,0.31014443,1.0,0.0,0.0
cell_818,0.0,0.60538704,1.0,0.0,0.0
cell_842,0.0,1.0,0.24015507,0.0,0.0
cell_853,0.0,0.30631549,1.0,0.0,0.0
cell_859,0.0,0.04513618,1.0,0.0,0.0
cell_886,0.0,0.26372826,1.0,0.0,0.0
cell_891,0.0,1.0,0.20706838,0.0,0.0
cell_894,0.0,1.0,0.05933544,0.0,0.0
cell_947,0.0,0.03190786,1.0,0.0,0.0
cell_951,0.0,1.0,0.09360883,0.0,0.0
