,rsp,pm,am,al,lm
cell_9,0.0,0.76100339,0.0,0.0,1.0
cell_49,0.0,0.36107711,0.0,0.0,1.0
cell_120,0.0,0.39368999,0.0,0.0,1.0
cell_204,0.0,1.0,0.0,0.0,0.98780488
cell_261,0.0,0.8436214,0.0,0.0,1.0
cell_714,0.0,1.0,0.0,0.0,0.06106883
cell_726,0.0,0.50127443,0.0,0.0,1.0
cell_734,0.0,0.57288506,0.0,0.0,1.0
cell_736,0.0,1.0,0.0,0.0,0.25933898
cell_751,0.0,0.18937034,0.0,0.0,1.0
cell_757,0.0,0.47089416,0.0,0.0,1.0
cell_764,0.0,1.0,0.0,0.0,0.85496368
cell_787,0.0,1.0,0.0,0.0,0.72542373
cell_792,0.0,1.0,0.0,0.0,0.37160186
cell_802,0.0,0.62659303,0.0,0.0,1.0
cell_811,0.0,0.13475119,0.0,0.0,1.0
cell_856,0.0,0.31329652,0.0,0.0,1.0
cell_873,0.0,0.25063721,0.0,0.0,1.0
cell_881,0.0,0.84590059,0.0,0.0,1.0
cell_883,0.0,0.01871979,0.0,0.0,1.0
cell_901,0.0,0.28196686,0.0,0.0,1.0
cell_906,0.0,0.55697158,0.0,0.0,1.0
cell_950,0.0,0.6683659,0.0,0.0,1.0
cell_989,0.0,0.67741935,0.0,0.0,1.0
