,rsp,pm,am,al,lm
cell_2,0.0,1.0,0.33855194,0.0,0.0
cell_21,0.0,1.0,0.3869165,0.0,0.0
cell_37,0.0,0.39159651,1.0,0.0,0.0
cell_42,0.0,0.62220334,1.0,0.0,0.0
cell_43,0.0,0.02075933,1.0,0.0,0.0
cell_47,0.0,1.0,0.85349228,0.0,0.0
cell_84,0.0,0.31014443,1.0,0.0,0.0
cell_130,0.0,0.60538704,1.0,0.0,0.0
cell_154,0.0,1.0,0.24015507,0.0,0.0
cell_165,0.0,0.30631549,1.0,0.0,0.0
cell_171,0.0,0.04513618,1.0,0.0,0.0
cell_198,0.0,0.26372826,1.0,0.0,0.0
cell_203,0.0,1.0,0.20706838,0.0,0.0
cell_206,0.0,1.0,0.05933544,0.0,0.0
cell_259,0.0,0.03190786,1.0,0.0,0.0
cell_263,0.0,1.0,0.09360883,0.0,0.0
