rsp,pm,am,al,lm
0.00000000,80.57407407,107.72764790,0.00000000,0.00000000
0.00000000,48.76851852,0.00000000,0.00000000,0.00000000
0.00000000,74.21296296,0.00000000,0.00000000,0.00000000
0.00000000,29.68518519,0.00000000,0.00000000,0.00000000
0.00000000,16.96296296,17.00962861,0.00000000,0.00000000
0.00000000,27.56481481,34.01925722,0.00000000,150.80487800
0.00000000,0.00000000,0.00000000,127.12710280,0.00000000
0.00000000,36.04629630,25.51444292,0.00000000,0.00000000
0.00000000,269.28703700,96.38789546,0.00000000,37.70121951
11.87516005,16.96296296,0.00000000,0.00000000,0.00000000
27.70870679,0.00000000,5.66987620,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,0.00000000,0.00000000,11.55700935,0.00000000
0.00000000,0.00000000,34.01925722,0.00000000,0.00000000
0.00000000,0.00000000,11.33975241,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,11.55700935,150.80487800
0.00000000,0.00000000,22.67950481,0.00000000,0.00000000
0.00000000,0.00000000,76.54332875,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,29.68518519,96.38789546,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,11.55700935,0.00000000
35.62548015,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,40.28703704,0.00000000,0.00000000,0.00000000
0.00000000,48.76851852,48.19394773,0.00000000,0.00000000
0.00000000,0.00000000,19.84456671,0.00000000,0.00000000
0.00000000,19.08333333,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
102.91805380,27.56481481,14.17469051,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,23.11401869,0.00000000
0.00000000,0.00000000,0.00000000,57.78504673,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,0.00000000,0.00000000,34.67102804,37.70121951
11.87516005,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,45.35900963,0.00000000,75.40243902
0.00000000,0.00000000,0.00000000,0.00000000,1168.73780500
0.00000000,0.00000000,0.00000000,0.00000000,113.10365850
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,0.00000000,0.00000000,11.55700935,0.00000000
0.00000000,21.20370370,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,150.80487800
0.00000000,0.00000000,19.84456671,0.00000000,0.00000000
0.00000000,14.84259259,0.00000000,0.00000000,37.70121951
259.27432780,72.09259259,76.54332875,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,11.55700935,37.70121951
0.00000000,0.00000000,0.00000000,23.11401869,0.00000000
0.00000000,260.80555560,31.18431912,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,349.86111110,385.55158180,0.00000000,0.00000000
104.89724710,108.13888890,19.84456671,0.00000000,188.50609760
0.00000000,33.92592593,11.33975241,0.00000000,37.70121951
0.00000000,0.00000000,0.00000000,0.00000000,75.40243902
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,0.00000000,0.00000000,34.67102804,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,63.61111111,39.68913343,0.00000000,0.00000000
21.77112676,0.00000000,0.00000000,23.11401869,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,0.00000000,0.00000000,80.89906542,75.40243902
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,0.00000000,0.00000000,0.00000000,37.70121951
0.00000000,0.00000000,45.35900963,0.00000000,0.00000000
