Motifs,Observed,Expected,Expected SD,Effect Size,P-value,Degree,Group
[''],0.0,0,2.669288023870748,0.0,0.0010377600934478096,0,2
['rsp'],6.0,7,2.669288023870748,-0.26467589760007787,0.8500300274787542,1,4
['pm'],7.0,7,2.669288023870748,-0.07203081965768186,1.0,1,4
['am'],14.0,7,2.669288023870748,0.8348597759508365,0.022173515310732514,1,3
['al'],84.0,7,2.669288023870748,3.3373601164800197,1e-10,1,1
['lm'],40.0,7,2.669288023870748,2.285521184960402,1e-10,1,1
"['rsp', 'pm']",0.0,2,1.698432052601299,-1.9742085283770725,0.1276765270138198,2,4
"['rsp', 'am']",2.0,2,1.698432052601299,-0.3892460276559163,1.0,2,4
"['rsp', 'al']",1.0,2,1.698432052601299,-0.9742085283770725,0.3793046096312096,2,4
"['rsp', 'lm']",3.0,2,1.698432052601299,0.025791471622927525,0.7700580683596292,2,3
"['pm', 'am']",1.0,2,1.698432052601299,-0.9742085283770725,0.3793046096312096,2,4
"['pm', 'al']",0.0,2,1.698432052601299,-1.9742085283770725,0.1276765270138198,2,4
"['pm', 'lm']",1.0,2,1.698432052601299,-0.9742085283770725,0.3793046096312096,2,4
"['am', 'al']",3.0,2,1.698432052601299,0.025791471622927525,0.7700580683596292,2,3
"['am', 'lm']",2.0,2,1.698432052601299,-0.3892460276559163,1.0,2,4
"['al', 'lm']",26.0,2,1.698432052601299,2.780678973786396,1e-10,2,1
"['rsp', 'pm', 'am']",0.0,1,1.0728402646908284,-1.109650363069344,0.6353314324046007,3,4
"['rsp', 'pm', 'al']",1.0,1,1.0728402646908284,-0.10965036306934392,1.0,3,4
"['rsp', 'pm', 'lm']",0.0,1,1.0728402646908284,-1.109650363069344,0.6353314324046007,3,4
"['rsp', 'am', 'al']",0.0,1,1.0728402646908284,-1.109650363069344,0.6353314324046007,3,4
"['rsp', 'am', 'lm']",0.0,1,1.0728402646908284,-1.109650363069344,0.6353314324046007,3,4
"['rsp', 'al', 'lm']",1.0,1,1.0728402646908284,-0.10965036306934392,1.0,3,4
"['pm', 'am', 'al']",1.0,1,1.0728402646908284,-0.10965036306934392,1.0,3,4
"['pm', 'am', 'lm']",0.0,1,1.0728402646908284,-1.109650363069344,0.6353314324046007,3,4
"['pm', 'al', 'lm']",0.0,1,1.0728402646908284,-1.109650363069344,0.6353314324046007,3,4
"['am', 'al', 'lm']",0.0,1,1.0728402646908284,-1.109650363069344,0.6353314324046007,3,4
"['rsp', 'pm', 'am', 'al']",0.0,0,0.6757700094129617,-0.5437440979082199,1.0,4,4
"['rsp', 'pm', 'am', 'lm']",0.0,0,0.6757700094129617,-0.5437440979082199,1.0,4,4
"['rsp', 'pm', 'al', 'lm']",0.0,0,0.6757700094129617,-0.5437440979082199,1.0,4,4
"['rsp', 'am', 'al', 'lm']",0.0,0,0.6757700094129617,-0.5437440979082199,1.0,4,4
"['pm', 'am', 'al', 'lm']",0.0,0,0.6757700094129617,-0.5437440979082199,1.0,4,4
"['rsp', 'pm', 'am', 'al', 'lm']",0.0,0,0.42519055270309963,-0.23995603354501593,1.0,5,4
