,rsp,am,pm,al,lm,Total,Motif Num,Motif Perc
0,7.0,,,,,7.0,4.0,57.14285714285714
1,,7.0,,,,7.0,1.0,14.285714285714285
2,,,6.0,,,6.0,1.0,16.666666666666664
3,,,,7.0,,7.0,3.0,42.857142857142854
4,,,,,15.0,15.0,7.0,46.666666666666664
5,7.0,7.0,,,,14.0,1.0,7.142857142857142
6,7.0,,6.0,,,13.0,0.0,0.0
7,7.0,,,7.0,,14.0,0.0,0.0
8,7.0,,,,15.0,22.0,1.0,4.545454545454546
9,,7.0,6.0,,,13.0,1.0,7.6923076923076925
10,,7.0,,7.0,,14.0,1.0,7.142857142857142
11,,7.0,,,15.0,22.0,1.0,4.545454545454546
12,,,6.0,7.0,,13.0,0.0,0.0
13,,,6.0,,15.0,21.0,2.0,9.523809523809524
14,,,,7.0,15.0,22.0,1.0,4.545454545454546
15,7.0,7.0,6.0,,,20.0,0.0,0.0
16,7.0,7.0,,7.0,,21.0,0.0,0.0
17,7.0,7.0,,,15.0,29.0,0.0,0.0
18,7.0,,6.0,7.0,,20.0,0.0,0.0
19,7.0,,6.0,,15.0,28.0,0.0,0.0
20,7.0,,,7.0,15.0,29.0,0.0,0.0
21,,7.0,6.0,7.0,,20.0,0.0,0.0
22,,7.0,6.0,,15.0,28.0,0.0,0.0
23,,7.0,,7.0,15.0,29.0,1.0,3.4482758620689653
24,,,6.0,7.0,15.0,28.0,1.0,3.571428571428571
25,7.0,7.0,6.0,7.0,,27.0,0.0,0.0
26,7.0,7.0,6.0,,15.0,35.0,1.0,2.857142857142857
27,7.0,7.0,,7.0,15.0,36.0,0.0,0.0
28,7.0,,6.0,7.0,15.0,35.0,0.0,0.0
29,,7.0,6.0,7.0,15.0,35.0,0.0,0.0
30,7.0,7.0,6.0,7.0,15.0,42.0,0.0,0.0
