,rsp,pm,am,al,lm
cell_0,0.0,0.0,0.0,0.50841172,1.0
cell_14,0.0,0.0,0.0,1.0,0.84515656
cell_20,0.0,0.0,0.0,0.43941777,1.0
cell_23,0.0,0.0,0.0,0.75558422,1.0
cell_35,0.0,0.0,0.0,1.0,0.33806262
cell_43,0.0,0.0,0.0,1.0,0.57953592
cell_60,0.0,0.0,0.0,1.0,0.47328767
cell_65,0.0,0.0,0.0,1.0,0.53029431
cell_82,0.0,0.0,0.0,1.0,0.1609822
cell_83,0.0,0.0,0.0,0.31693198,1.0
cell_89,0.0,0.0,0.0,1.0,0.50164131
cell_96,0.0,0.0,0.0,0.59160637,1.0
cell_97,0.0,0.0,0.0,0.55463097,1.0
cell_100,0.0,0.0,0.0,0.6778823,1.0
cell_107,0.0,0.0,0.0,1.0,0.26385375
cell_108,0.0,0.0,0.0,1.0,0.53579736
cell_109,0.0,0.0,0.0,1.0,0.67612524
cell_119,0.0,0.0,0.0,0.57143797,1.0
cell_121,0.0,0.0,0.0,1.0,0.62411561
cell_131,0.0,0.0,0.0,0.85782923,1.0
cell_136,0.0,0.0,0.0,0.85327841,1.0
cell_142,0.0,0.0,0.0,0.78572721,1.0
cell_145,0.0,0.0,0.0,1.0,0.87498561
cell_146,0.0,0.0,0.0,1.0,0.21351324
cell_147,0.0,0.0,0.0,1.0,0.5409002
cell_155,0.0,0.0,0.0,0.98601061,1.0
cell_159,0.0,0.0,0.0,0.48352444,1.0
cell_168,0.0,0.0,0.0,0.46219247,1.0
cell_169,0.0,0.0,0.0,1.0,0.59160959
cell_171,0.0,0.0,0.0,1.0,0.12621005
cell_172,0.0,0.0,0.0,1.0,0.52158233
cell_173,0.0,0.0,0.0,0.34510371,1.0
cell_186,0.0,0.0,0.0,1.0,0.94657534
cell_194,0.0,0.0,0.0,1.0,0.33806262
cell_202,0.0,0.0,0.0,0.44370478,1.0
cell_247,0.0,0.0,0.0,1.0,0.67612524
cell_252,0.0,0.0,0.0,1.0,0.08195458
cell_254,0.0,0.0,0.0,0.29052098,1.0
cell_255,0.0,0.0,0.0,0.61625663,1.0
cell_257,0.0,0.0,0.0,0.63386397,1.0
cell_258,0.0,0.0,0.0,0.27731548,1.0
cell_264,0.0,0.0,0.0,0.89797395,1.0
cell_265,0.0,0.0,0.0,1.0,0.49172745
cell_266,0.0,0.0,0.0,0.38736131,1.0
cell_276,0.0,0.0,0.0,1.0,0.82879869
cell_277,0.0,0.0,0.0,0.42257598,1.0
cell_285,0.0,0.0,0.0,0.51765557,1.0
cell_298,0.0,0.0,0.0,1.0,0.64053971
cell_307,0.0,0.0,0.0,1.0,0.60100022
cell_308,0.0,0.0,0.0,0.98601061,1.0
cell_314,0.0,0.0,0.0,1.0,0.235174
cell_335,0.0,0.0,0.0,1.0,0.05008335
cell_336,0.0,0.0,0.0,1.0,0.86052304
cell_337,0.0,0.0,0.0,0.3928636,1.0
cell_376,0.0,0.0,0.0,0.35498796,1.0
cell_391,0.0,0.0,0.0,1.0,0.29773139
cell_419,0.0,0.0,0.0,0.40960149,1.0
cell_446,0.0,0.0,0.0,0.24576089,1.0
cell_458,0.0,0.0,0.0,1.0,0.28062039
cell_474,0.0,0.0,0.0,0.36864134,1.0
cell_569,0.0,0.0,0.0,1.0,0.87890306
cell_580,0.0,0.0,0.0,0.45271743,1.0
cell_600,0.0,0.0,0.0,1.0,0.21798191
cell_602,0.0,0.0,0.0,0.69632253,1.0
cell_628,0.0,0.0,0.0,0.49152179,1.0
cell_643,0.0,0.0,0.0,0.31058726,1.0
cell_652,0.0,0.0,0.0,0.04658809,1.0
cell_666,0.0,0.0,0.0,1.0,0.83473887
cell_676,0.0,0.0,0.0,1.0,0.17887261
cell_678,0.0,0.0,0.0,1.0,0.17887261
cell_684,0.0,0.0,0.0,0.31058726,1.0
cell_688,0.0,0.0,0.0,0.6577142,1.0
cell_715,0.0,0.0,0.0,1.0,0.83473887
cell_736,0.0,0.0,0.0,0.86964433,1.0
cell_737,0.0,0.0,0.0,0.32999897,1.0
cell_745,0.0,0.0,0.0,1.0,0.76659692
cell_749,0.0,0.0,0.0,1.0,0.53661784
cell_752,0.0,0.0,0.0,0.18635236,1.0
cell_754,0.0,0.0,0.0,0.66554413,1.0
cell_758,0.0,0.0,0.0,0.75428335,1.0
cell_765,0.0,0.0,0.0,1.0,0.53661784
cell_775,0.0,0.0,0.0,0.46588089,1.0
cell_782,0.0,0.0,0.0,0.93176179,1.0
cell_785,0.0,0.0,0.0,1.0,0.97566881
cell_791,0.0,0.0,0.0,1.0,0.30663877
cell_797,0.0,0.0,0.0,0.77646816,1.0
cell_810,0.0,0.0,0.0,1.0,0.05503773
cell_812,0.0,0.0,0.0,1.0,0.76659692
cell_818,0.0,0.0,0.0,0.18635236,1.0
cell_826,0.0,0.0,0.0,0.93176179,1.0
cell_828,0.0,0.0,0.0,0.18635236,1.0
cell_847,0.0,0.0,0.0,0.29489449,1.0
