,rsp,pm,am,al,lm
cell_69,0.0,0.0,0.48005872,0.23664255,1.0
cell_99,0.0,0.0,0.67620795,1.0,0.45075016
cell_126,0.0,0.0,1.0,0.30078,0.67788318
cell_175,0.0,0.0,0.22688556,1.0,0.42702647
cell_189,0.0,0.0,1.0,0.25442323,0.77409886
cell_199,0.0,0.0,1.0,0.51120223,0.42793119
cell_263,0.0,0.0,1.0,0.57636647,0.08204125
cell_297,0.0,0.0,0.71883792,0.49300531,1.0
cell_302,0.0,0.0,1.0,0.93894287,0.76181157
cell_304,0.0,0.0,1.0,0.60670155,0.12306187
cell_591,0.0,0.0,1.0,0.08057193,0.32784683
cell_612,0.0,0.0,1.0,0.10404984,0.45160357
cell_855,0.0,0.0,0.2869888,1.0,0.50865651
