,rsp,pm,am,al,lm
cell_5,0.0,1.0,0.74795663,0.0,0.0
cell_10,0.0,0.68295739,1.0,0.0,0.0
cell_11,0.0,1.0,0.51131498,0.0,0.0
cell_42,0.0,1.0,0.3346789,0.0,0.0
cell_46,0.0,0.29879386,1.0,0.0,0.0
cell_50,0.0,1.0,0.61009174,0.0,0.0
cell_74,0.0,0.43460925,1.0,0.0,0.0
cell_101,0.0,0.71710526,1.0,0.0,0.0
cell_134,0.0,0.13530288,1.0,0.0,0.0
cell_144,0.0,1.0,0.62752294,0.0,0.0
cell_148,0.0,1.0,0.2324159,0.0,0.0
cell_229,0.0,1.0,0.62752294,0.0,0.0
cell_235,0.0,0.26891447,1.0,0.0,0.0
cell_248,0.0,0.23903509,1.0,0.0,0.0
cell_251,0.0,1.0,0.80183486,0.0,0.0
cell_287,0.0,0.79678363,1.0,0.0,0.0
cell_309,0.0,0.15589245,1.0,0.0,0.0
cell_320,0.0,1.0,0.27889908,0.0,0.0
cell_327,0.0,1.0,0.20550459,0.0,0.0
cell_331,0.0,0.44819079,1.0,0.0,0.0
cell_358,0.0,0.53336831,1.0,0.0,0.0
cell_412,0.0,1.0,0.62898452,0.0,0.0
cell_425,0.0,0.33884575,1.0,0.0,0.0
cell_633,0.0,0.43357682,1.0,0.0,0.0
cell_761,0.0,0.71887246,1.0,0.0,0.0
cell_849,0.0,0.83952939,1.0,0.0,0.0
