,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,45.0,,,,,45.0,13.0,28.888888888888886
1,,105.0,,,,105.0,53.0,50.476190476190474
2,,,326.0,,,326.0,213.0,65.33742331288343
3,,,,323.0,,323.0,183.0,56.656346749226
4,,,,,329.0,329.0,175.0,53.191489361702125
5,45.0,105.0,,,,150.0,0.0,0.0
6,45.0,,326.0,,,371.0,12.0,3.234501347708895
7,45.0,,,323.0,,368.0,1.0,0.2717391304347826
8,45.0,,,,329.0,374.0,6.0,1.6042780748663104
9,,105.0,326.0,,,431.0,26.0,6.0324825986078885
10,,105.0,,323.0,,428.0,0.0,0.0
11,,105.0,,,329.0,434.0,6.0,1.3824884792626728
12,,,326.0,323.0,,649.0,22.0,3.389830508474576
13,,,326.0,,329.0,655.0,21.0,3.2061068702290076
14,,,,323.0,329.0,652.0,92.0,14.11042944785276
15,45.0,105.0,326.0,,,476.0,5.0,1.050420168067227
16,45.0,105.0,,323.0,,473.0,1.0,0.21141649048625794
17,45.0,105.0,,,329.0,479.0,0.0,0.0
18,45.0,,326.0,323.0,,694.0,0.0,0.0
19,45.0,,326.0,,329.0,700.0,0.0,0.0
20,45.0,,,323.0,329.0,697.0,2.0,0.2869440459110474
21,,105.0,326.0,323.0,,754.0,1.0,0.1326259946949602
22,,105.0,326.0,,329.0,760.0,5.0,0.6578947368421052
23,,105.0,,323.0,329.0,757.0,2.0,0.26420079260237783
24,,,326.0,323.0,329.0,978.0,13.0,1.329243353783231
25,45.0,105.0,326.0,323.0,,799.0,1.0,0.1251564455569462
26,45.0,105.0,326.0,,329.0,805.0,2.0,0.2484472049689441
27,45.0,105.0,,323.0,329.0,802.0,0.0,0.0
28,45.0,,326.0,323.0,329.0,1023.0,2.0,0.19550342130987292
29,,105.0,326.0,323.0,329.0,1083.0,3.0,0.2770083102493075
30,45.0,105.0,326.0,323.0,329.0,1128.0,0.0,0.0
