Motifs,Observed,Expected,Expected SD,Effect Size,P-value,Degree,Group
[''],0.0,0,6.536422415991918,0.0,1e-10,0,2
['rsp'],13.0,45,6.536422415991918,-1.7189883763028448,2.3783212754487388e-08,1,2
['pm'],53.0,45,6.536422415991918,0.22854420380301957,0.2207764597386246,1,3
['am'],213.0,45,6.536422415991918,2.215123688040698,1e-10,1,1
['al'],183.0,45,6.536422415991918,1.997218657696564,1e-10,1,1
['lm'],175.0,45,6.536422415991918,1.9330883202768483,1e-10,1,1
"['rsp', 'pm']",0.0,11,3.33533283571784,-3.617321054164267,2.8212535755703856e-05,2,2
"['rsp', 'am']",12.0,11,3.33533283571784,0.08311866397682506,0.7635741462499217,2,3
"['rsp', 'al']",1.0,11,3.33533283571784,-2.617321054164267,0.0002524741506256851,2,2
"['rsp', 'lm']",6.0,11,3.33533283571784,-0.8099661321066629,0.1320943964603011,2,4
"['pm', 'am']",26.0,11,3.33533283571784,1.1375664479992016,0.00011760219428781762,2,1
"['pm', 'al']",0.0,11,3.33533283571784,-3.617321054164267,2.8212535755703856e-05,2,2
"['pm', 'lm']",6.0,11,3.33533283571784,-0.8099661321066629,0.1320943964603011,2,4
"['am', 'al']",22.0,11,3.33533283571784,0.9062409018927459,0.003720316861769215,2,3
"['am', 'lm']",21.0,11,3.33533283571784,0.8421105644730303,0.009590091768313325,2,3
"['al', 'lm']",92.0,11,3.33533283571784,2.9218377569437646,1e-10,2,1
"['rsp', 'pm', 'am']",5.0,2,1.6759516163402814,0.6521272604919651,0.21428746624335898,3,3
"['rsp', 'pm', 'al']",1.0,2,1.6759516163402814,-0.9328352402291912,0.5395347693638162,3,4
"['rsp', 'pm', 'lm']",0.0,2,1.6759516163402814,-1.932835240229191,0.12582545305914877,3,4
"['rsp', 'am', 'al']",0.0,2,1.6759516163402814,-1.932835240229191,0.12582545305914877,3,4
"['rsp', 'am', 'lm']",0.0,2,1.6759516163402814,-1.932835240229191,0.12582545305914877,3,4
"['rsp', 'al', 'lm']",2.0,2,1.6759516163402814,-0.3478727395080349,1.0,3,4
"['pm', 'am', 'al']",1.0,2,1.6759516163402814,-0.9328352402291912,0.5395347693638162,3,4
"['pm', 'am', 'lm']",5.0,2,1.6759516163402814,0.6521272604919651,0.21428746624335898,3,3
"['pm', 'al', 'lm']",2.0,2,1.6759516163402814,-0.3478727395080349,1.0,3,4
"['am', 'al', 'lm']",13.0,2,1.6759516163402814,1.874519681828413,7.993576029488236e-06,3,1
"['rsp', 'pm', 'am', 'al']",1.0,0,0.8390082620389386,0.23064124371395645,0.5057929528461099,4,3
"['rsp', 'pm', 'am', 'lm']",2.0,0,0.8390082620389386,0.8156037444351125,0.15733269900167926,4,3
"['rsp', 'pm', 'al', 'lm']",0.0,0,0.8390082620389386,-0.7693587562860436,1.0,4,4
"['rsp', 'am', 'al', 'lm']",2.0,0,0.8390082620389386,0.8156037444351125,0.15733269900167926,4,3
"['pm', 'am', 'al', 'lm']",3.0,0,0.8390082620389386,1.2306412437139564,0.03462769320267931,4,3
"['rsp', 'pm', 'am', 'al', 'lm']",0.0,0,0.4196330885256787,-0.23404507966081559,1.0,5,4
