Motif,Observed,Expected
rsp,4.0,90
pm,146.0,90
am,22.0,90
al,748.0,90
lm,329.0,90
rsp+pm,5.0,22
rsp+am,6.0,22
rsp+al,1.0,22
rsp+lm,2.0,22
pm+am,60.0,22
pm+al,32.0,22
pm+lm,60.0,22
am+al,7.0,22
am+lm,21.0,22
al+lm,132.0,22
rsp+pm+am,13.0,5
rsp+pm+al,3.0,5
rsp+pm+lm,1.0,5
rsp+am+al,1.0,5
rsp+am+lm,3.0,5
rsp+al+lm,1.0,5
pm+am+al,11.0,5
pm+am+lm,34.0,5
pm+al+lm,23.0,5
am+al+lm,3.0,5
rsp+pm+am+al,4.0,1
rsp+pm+am+lm,20.0,1
rsp+pm+al+lm,3.0,1
rsp+am+al+lm,1.0,1
pm+am+al+lm,16.0,1
rsp+pm+am+al+lm,9.0,0
