,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,2.0,,,,,2.0,1.0,50.0
1,,45.0,,,,45.0,26.0,57.77777777777777
2,,,27.0,,,27.0,13.0,48.148148148148145
3,,,,286.0,,286.0,260.0,90.9090909090909
4,,,,,79.0,79.0,47.0,59.49367088607595
5,2.0,45.0,,,,47.0,0.0,0.0
6,2.0,,27.0,,,29.0,0.0,0.0
7,2.0,,,286.0,,288.0,0.0,0.0
8,2.0,,,,79.0,81.0,1.0,1.2345679012345678
9,,45.0,27.0,,,72.0,5.0,6.944444444444445
10,,45.0,,286.0,,331.0,4.0,1.2084592145015105
11,,45.0,,,79.0,124.0,5.0,4.032258064516129
12,,,27.0,286.0,,313.0,1.0,0.3194888178913738
13,,,27.0,,79.0,106.0,2.0,1.8867924528301887
14,,,,286.0,79.0,365.0,19.0,5.205479452054795
15,2.0,45.0,27.0,,,74.0,0.0,0.0
16,2.0,45.0,,286.0,,333.0,0.0,0.0
17,2.0,45.0,,,79.0,126.0,0.0,0.0
18,2.0,,27.0,286.0,,315.0,0.0,0.0
19,2.0,,27.0,,79.0,108.0,0.0,0.0
20,2.0,,,286.0,79.0,367.0,0.0,0.0
21,,45.0,27.0,286.0,,358.0,1.0,0.27932960893854747
22,,45.0,27.0,,79.0,151.0,4.0,2.6490066225165565
23,,45.0,,286.0,79.0,410.0,0.0,0.0
24,,,27.0,286.0,79.0,392.0,1.0,0.25510204081632654
25,2.0,45.0,27.0,286.0,,360.0,0.0,0.0
26,2.0,45.0,27.0,,79.0,153.0,0.0,0.0
27,2.0,45.0,,286.0,79.0,412.0,0.0,0.0
28,2.0,,27.0,286.0,79.0,394.0,0.0,0.0
29,,45.0,27.0,286.0,79.0,437.0,0.0,0.0
30,2.0,45.0,27.0,286.0,79.0,439.0,0.0,0.0
