,rsp,pm,am,al,lm
cell_23,1.0,0.0,0.0,0.0,0.40892655
cell_117,0.47192449,0.0,0.0,0.0,1.0
cell_198,0.19925701,0.0,0.0,0.0,1.0
cell_222,0.33034714,0.0,0.0,0.0,1.0
cell_247,0.74721378,0.0,0.0,0.0,1.0
cell_332,0.83260964,0.0,0.0,0.0,1.0
cell_334,0.58282675,0.0,0.0,0.0,1.0
cell_343,1.0,0.0,0.0,0.0,0.49566855
cell_348,0.36681404,0.0,0.0,0.0,1.0
cell_386,0.36426672,0.0,0.0,0.0,1.0
cell_393,0.32023448,0.0,0.0,0.0,1.0
cell_439,1.0,0.0,0.0,0.0,0.58187178
cell_448,0.38428137,0.0,0.0,0.0,1.0
cell_507,0.57642206,0.0,0.0,0.0,1.0
cell_511,0.6897358,0.0,0.0,0.0,1.0
cell_558,0.20852478,0.0,0.0,0.0,1.0
cell_631,1.0,0.0,0.0,0.0,0.89220339
cell_668,0.59777102,0.0,0.0,0.0,1.0
cell_693,0.26372251,0.0,0.0,0.0,1.0
cell_733,0.34158344,0.0,0.0,0.0,1.0
cell_802,0.82193516,0.0,0.0,0.0,1.0
cell_822,1.0,0.0,0.0,0.0,0.2920904
cell_869,1.0,0.0,0.0,0.0,0.35688136
cell_950,0.1426499,0.0,0.0,0.0,1.0
