,rsp,pm,am,al,lm
cell_30,0.78632219,1.0,0.0,0.0,0.40474576
cell_143,1.0,0.763046,0.0,0.0,0.51473272
cell_232,0.40757115,0.67382366,0.0,0.0,1.0
cell_276,0.51237516,0.27227977,0.0,0.0,1.0
cell_316,0.26567601,0.2196166,0.0,0.0,1.0
cell_326,0.23522459,1.0,0.0,0.0,0.44971751
cell_381,0.09149556,0.4235463,0.0,0.0,1.0
cell_447,0.74444704,1.0,0.0,0.0,0.36323338
cell_470,0.96778116,1.0,0.0,0.0,0.44971751
cell_505,0.83687943,0.49413735,0.0,0.0,1.0
cell_512,0.30243161,1.0,0.0,0.0,0.44971751
cell_522,0.09622824,1.0,0.0,0.0,0.38328197
cell_537,0.25202634,1.0,0.0,0.0,0.56214689
cell_549,1.0,0.82663317,0.0,0.0,0.97584746
cell_580,1.0,0.37474037,0.0,0.0,0.17844068
cell_587,0.30243161,1.0,0.0,0.0,0.33728814
cell_590,0.40324215,1.0,0.0,0.0,0.74952919
cell_606,0.62076222,0.59866641,0.0,0.0,1.0
cell_613,1.0,0.87014017,0.0,0.0,0.46958073
cell_638,0.42473204,0.8972494,0.0,0.0,1.0
cell_718,0.92169634,1.0,0.0,0.0,0.77094431
cell_784,0.66534954,1.0,0.0,0.0,0.47220339
cell_798,0.44832827,0.52943288,0.0,0.0,1.0
cell_851,0.43204516,1.0,0.0,0.0,0.86731235
