,rsp,pm,am,al,lm
cell_77,0.43990052,1.0,0.0,0.0,0.0
cell_105,0.12830432,1.0,0.0,0.0,0.0
cell_161,1.0,0.79356784,0.0,0.0,0.0
cell_176,0.08640903,1.0,0.0,0.0,0.0
cell_204,0.17281806,1.0,0.0,0.0,0.0
cell_250,1.0,0.72330402,0.0,0.0,0.0
cell_264,1.0,0.11481016,0.0,0.0,0.0
cell_267,0.34563613,1.0,0.0,0.0,0.0
cell_273,1.0,0.85724921,0.0,0.0,0.0
cell_435,1.0,0.50869733,0.0,0.0,0.0
cell_485,0.69127225,1.0,0.0,0.0,0.0
cell_501,0.38491296,1.0,0.0,0.0,0.0
cell_503,1.0,0.94472362,0.0,0.0,0.0
cell_514,1.0,0.40214586,0.0,0.0,0.0
cell_595,0.98290274,1.0,0.0,0.0,0.0
cell_603,0.2592271,1.0,0.0,0.0,0.0
cell_669,0.33603512,1.0,0.0,0.0,0.0
cell_684,0.41130699,1.0,0.0,0.0,0.0
cell_716,0.36291793,1.0,0.0,0.0,0.0
cell_748,1.0,0.63997406,0.0,0.0,0.0
cell_754,0.08640903,1.0,0.0,0.0,0.0
cell_757,0.35283688,1.0,0.0,0.0,0.0
cell_792,0.32992539,1.0,0.0,0.0,0.0
cell_826,1.0,0.82663317,0.0,0.0,0.0
cell_864,0.55445795,1.0,0.0,0.0,0.0
cell_900,0.20162107,1.0,0.0,0.0,0.0
cell_932,1.0,0.59045226,0.0,0.0,0.0
cell_938,0.8064843,1.0,0.0,0.0,0.0
cell_941,0.5376562,1.0,0.0,0.0,0.0
