,rsp,pm,am,al,lm
cell_3,0.0,0.0,0.48175198,0.0,1.0
cell_27,0.0,0.0,0.60880744,0.0,1.0
cell_62,0.0,0.0,0.07330123,0.0,1.0
cell_180,0.0,0.0,0.27793383,0.0,1.0
cell_449,0.0,0.0,0.04876032,0.0,1.0
cell_517,0.0,0.0,1.0,0.0,0.59966311
cell_652,0.0,0.0,0.06275925,0.0,1.0
cell_724,0.0,0.0,0.74115689,0.0,1.0
cell_837,0.0,0.0,1.0,0.0,0.18610234
cell_861,0.0,0.0,0.16917712,0.0,1.0
cell_924,0.0,0.0,0.26330574,0.0,1.0
cell_1002,0.0,0.0,0.14169176,0.0,1.0
cell_1013,0.0,0.0,0.06806543,0.0,1.0
cell_1358,0.0,0.0,0.85518102,0.0,1.0
cell_1415,0.0,0.0,0.43234152,0.0,1.0
cell_1472,0.0,0.0,0.27793383,0.0,1.0
cell_1520,0.0,0.0,0.38483146,0.0,1.0
cell_1565,0.0,0.0,0.70746794,0.0,1.0
cell_1606,0.0,0.0,0.74115689,0.0,1.0
cell_1621,0.0,0.0,1.0,0.0,0.22487367
cell_1678,0.0,0.0,0.46692884,0.0,1.0
