,rsp,pm,am,al,lm
cell_33,0.0,0.51605239,0.0,0.99091246,1.0
cell_112,0.0,1.0,0.0,0.26669139,0.67284297
cell_259,0.0,0.10669742,0.0,1.0,0.99686392
cell_267,0.0,0.93046927,0.0,1.0,0.47094641
cell_293,0.0,0.6999351,0.0,1.0,0.78715328
cell_367,0.0,0.14744354,0.0,0.56623569,1.0
cell_411,0.0,0.49541029,0.0,0.12331355,1.0
cell_441,0.0,0.34371813,0.0,1.0,0.15137563
cell_521,0.0,0.44113556,0.0,1.0,0.93496714
cell_636,0.0,0.83325607,0.0,1.0,0.25229272
cell_637,0.0,0.05179078,0.0,1.0,0.44743626
cell_720,0.0,0.11009118,0.0,0.70464886,1.0
cell_815,0.0,0.39769039,0.0,1.0,0.25229272
cell_831,0.0,0.22706305,0.0,0.19818249,1.0
cell_881,0.0,0.11903658,0.0,1.0,0.18020909
cell_884,0.0,0.26512693,0.0,1.0,0.98623518
cell_1066,0.0,0.07179859,0.0,0.63188621,1.0
cell_1170,0.0,1.0,0.0,0.92043933,0.11789638
cell_1290,0.0,0.36054349,0.0,1.0,0.32021768
cell_1428,0.0,0.26039252,0.0,1.0,0.25229272
cell_1518,0.0,0.8521937,0.0,1.0,0.41284263
cell_1549,0.0,0.07935772,0.0,1.0,0.73285028
cell_1574,0.0,1.0,0.0,0.28237912,0.21372659
