,rsp,pm,am,al,lm
cell_29,0.0,1.0,0.0,0.17144447,0.0
cell_49,0.0,0.20831402,0.0,1.0,0.0
cell_52,0.0,1.0,0.0,0.48004451,0.0
cell_365,0.0,0.08063768,0.0,1.0,0.0
cell_388,0.0,0.34719003,0.0,1.0,0.0
cell_427,0.0,1.0,0.0,0.53338279,0.0
cell_456,0.0,0.14879573,0.0,1.0,0.0
cell_510,0.0,0.71421948,0.0,1.0,0.0
cell_545,0.0,1.0,0.0,0.35558853,0.0
cell_582,0.0,1.0,0.0,0.38098771,0.0
cell_584,0.0,0.72909906,0.0,1.0,0.0
cell_686,0.0,1.0,0.0,0.53338279,0.0
cell_808,0.0,0.17855487,0.0,1.0,0.0
cell_824,0.0,0.62494205,0.0,1.0,0.0
cell_840,0.0,0.43745943,0.0,1.0,0.0
cell_878,0.0,0.39058878,0.0,1.0,0.0
cell_1070,0.0,0.42759193,0.0,1.0,0.0
cell_1138,0.0,0.93741307,0.0,1.0,0.0
cell_1192,0.0,0.18290987,0.0,1.0,0.0
cell_1211,0.0,1.0,0.0,0.24617667,0.0
cell_1269,0.0,0.0637696,0.0,1.0,0.0
cell_1295,0.0,0.0555504,0.0,1.0,0.0
cell_1298,0.0,0.29409038,0.0,1.0,0.0
cell_1331,0.0,0.06047826,0.0,1.0,0.0
cell_1391,0.0,0.04236895,0.0,1.0,0.0
cell_1427,0.0,0.62494205,0.0,1.0,0.0
cell_1442,0.0,0.31247102,0.0,1.0,0.0
cell_1443,0.0,0.19735012,0.0,1.0,0.0
cell_1448,0.0,0.22725165,0.0,1.0,0.0
cell_1605,0.0,0.27775202,0.0,1.0,0.0
cell_1684,0.0,0.39058878,0.0,1.0,0.0
cell_1692,0.0,1.0,0.0,0.48004451,0.0
