,rsp,pm,am,al,lm
cell_47,0.0,0.19587736,0.13186875,1.0,0.1016702
cell_79,0.0,1.0,0.08631038,0.82058891,0.93162873
cell_93,0.0,0.67234254,0.18264223,0.11324714,1.0
cell_103,0.0,1.0,0.26447967,0.17144447,0.4757961
cell_382,0.0,1.0,0.39972495,0.15001391,0.45416901
cell_442,0.0,0.35899297,0.62837214,0.91910721,1.0
cell_868,0.0,0.87376258,1.0,0.41944493,0.95240612
cell_986,0.0,0.74311544,0.12970246,0.74868942,1.0
cell_1038,0.0,0.21649502,1.0,0.05773736,0.13110044
cell_1139,0.0,1.0,0.24480763,0.63036148,0.22020315
cell_1148,0.0,0.64296922,0.18204408,1.0,0.56038094
cell_1174,0.0,0.07339412,0.07411569,0.32296406,1.0
cell_1190,0.0,0.28581363,0.29931336,0.35571217,1.0
cell_1425,0.0,0.15621045,0.05007817,0.03570856,1.0
cell_1456,0.0,0.78815274,0.58113438,0.3603318,1.0
cell_1503,0.0,1.0,0.2894221,0.31404781,0.03395656
