,rsp,pm,am,al,lm
cell_94,0.0,1.0,0.37927942,0.0,0.90407351
cell_253,0.0,0.34278378,1.0,0.0,0.55353518
cell_355,0.0,1.0,0.22440699,0.0,0.20185289
cell_357,0.0,1.0,0.26520826,0.0,0.25690368
cell_422,0.0,1.0,0.53857678,0.0,0.48444694
cell_426,0.0,0.52843764,0.17787765,0.0,1.0
cell_534,0.0,1.0,0.17160535,0.0,0.70450617
cell_555,0.0,0.36806282,1.0,0.0,0.1592026
cell_563,0.0,1.0,0.12021803,0.0,0.51905029
cell_579,0.0,0.204242,1.0,0.0,0.44974733
cell_591,0.0,1.0,0.42519219,0.0,0.57368717
cell_596,0.0,1.0,0.24043606,0.0,0.43254191
cell_629,0.0,1.0,0.04105006,0.0,0.04430917
cell_665,0.0,0.34950503,1.0,0.0,0.52911451
cell_671,0.0,0.37013413,0.09583925,0.0,1.0
cell_691,0.0,1.0,0.10771536,0.0,0.21800112
cell_717,0.0,1.0,0.69493778,0.0,0.23440981
cell_718,0.0,0.24087509,1.0,0.0,0.437592
cell_900,0.0,0.5821148,1.0,0.0,0.41328133
cell_1009,0.0,1.0,0.7250072,0.0,0.55897724
cell_1141,0.0,1.0,0.42841335,0.0,0.93586341
cell_1177,0.0,0.33027353,0.18065699,0.0,1.0
cell_1259,0.0,0.45037299,0.50533424,0.0,1.0
cell_1267,0.0,0.56494156,0.39983464,0.0,1.0
cell_1291,0.0,0.91742647,0.55586767,0.0,1.0
cell_1299,0.0,1.0,0.59841864,0.0,0.20185289
cell_1312,0.0,0.55045588,0.15440768,0.0,1.0
cell_1336,0.0,0.68806985,0.74115689,0.0,1.0
cell_1455,0.0,1.0,0.52208973,0.0,0.8898005
cell_1478,0.0,1.0,0.3625036,0.0,0.74530298
cell_1567,0.0,0.25950063,0.238229,0.0,1.0
cell_1653,0.0,1.0,0.10871892,0.0,0.71463446
cell_1679,0.0,1.0,0.67322097,0.0,0.33030473
cell_1706,0.0,0.19659139,0.31763867,0.0,1.0
