,rsp,pm,am,al,lm
cell_20,0.0,1.0,0.0,0.0,0.25497207
cell_36,0.0,0.12843971,0.0,0.0,1.0
cell_128,0.0,0.74311544,0.0,0.0,1.0
cell_133,0.0,0.36330088,0.0,0.0,1.0
cell_164,0.0,0.88466124,0.0,0.0,1.0
cell_169,0.0,0.58977416,0.0,0.0,1.0
cell_184,0.0,0.58977416,0.0,0.0,1.0
cell_264,0.0,0.58977416,0.0,0.0,1.0
cell_276,0.0,1.0,0.0,0.0,0.69206706
cell_307,0.0,0.22935662,0.0,0.0,1.0
cell_314,0.0,1.0,0.0,0.0,0.21372659
cell_324,0.0,0.41284191,0.0,0.0,1.0
cell_413,0.0,1.0,0.0,0.0,0.68125351
cell_492,0.0,0.16154683,0.0,0.0,1.0
cell_525,0.0,0.60550147,0.0,0.0,1.0
cell_531,0.0,0.51605239,0.0,0.0,1.0
cell_548,0.0,1.0,0.0,0.0,0.90833801
cell_603,0.0,0.72247334,0.0,0.0,1.0
cell_627,0.0,0.15878535,0.0,0.0,1.0
cell_658,0.0,0.27522794,0.0,0.0,1.0
cell_682,0.0,1.0,0.0,0.0,0.16303503
cell_750,0.0,1.0,0.0,0.0,0.66153469
cell_769,0.0,0.4816489,0.0,0.0,1.0
cell_790,0.0,1.0,0.0,0.0,0.0781366
cell_867,0.0,0.22935662,0.0,0.0,1.0
cell_876,0.0,1.0,0.0,0.0,0.40370578
cell_885,0.0,0.17382817,0.0,0.0,1.0
cell_896,0.0,0.47181933,0.0,0.0,1.0
cell_938,0.0,0.82568382,0.0,0.0,1.0
cell_963,0.0,1.0,0.0,0.0,0.91133583
cell_968,0.0,0.15290441,0.0,0.0,1.0
cell_975,0.0,1.0,0.0,0.0,0.20185289
cell_997,0.0,1.0,0.0,0.0,0.30277934
cell_1003,0.0,1.0,0.0,0.0,0.69206706
cell_1008,0.0,0.58977416,0.0,0.0,1.0
cell_1044,0.0,0.15012433,0.0,0.0,1.0
cell_1113,0.0,0.30963143,0.0,0.0,1.0
cell_1119,0.0,0.09436387,0.0,0.0,1.0
cell_1189,0.0,0.19816412,0.0,0.0,1.0
cell_1209,0.0,1.0,0.0,0.0,0.59114061
cell_1210,0.0,0.0878387,0.0,0.0,1.0
cell_1226,0.0,0.48569636,0.0,0.0,1.0
cell_1227,0.0,0.49541029,0.0,0.0,1.0
cell_1228,0.0,0.55045588,0.0,0.0,1.0
cell_1272,0.0,1.0,0.0,0.0,0.15571509
cell_1308,0.0,1.0,0.0,0.0,0.94198016
cell_1338,0.0,0.20237349,0.0,0.0,1.0
cell_1339,0.0,1.0,0.0,0.0,0.69206706
cell_1350,0.0,0.20642096,0.0,0.0,1.0
cell_1351,0.0,1.0,0.0,0.0,0.62644001
cell_1367,0.0,0.33420536,0.0,0.0,1.0
cell_1426,0.0,1.0,0.0,0.0,0.66060946
cell_1479,0.0,0.60049732,0.0,0.0,1.0
cell_1485,0.0,0.47181933,0.0,0.0,1.0
cell_1540,0.0,1.0,0.0,0.0,0.55897724
cell_1559,0.0,0.51605239,0.0,0.0,1.0
cell_1587,0.0,1.0,0.0,0.0,0.50994415
cell_1608,0.0,0.08926312,0.0,0.0,1.0
cell_1612,0.0,0.58977416,0.0,0.0,1.0
cell_1617,0.0,1.0,0.0,0.0,0.16148231
