,rsp,pm,am,al,lm
cell_155,0.5944948,0.43475016,1.0,0.0,0.26326673
cell_171,0.64867054,0.67082417,1.0,0.0,0.63835105
cell_301,0.46151103,1.0,0.25245787,0.0,0.98403285
cell_406,0.09889522,1.0,0.02704906,0.0,0.15138967
cell_499,0.01088149,1.0,0.33928908,0.0,0.04818769
cell_620,0.0546976,1.0,0.07052791,0.0,0.74973931
cell_736,0.13593487,1.0,0.25494759,0.0,0.20782487
cell_741,0.13392465,0.96305919,1.0,0.0,0.90937922
cell_771,0.15823507,0.10245712,0.05680399,0.0,1.0
cell_788,0.20457464,0.50685541,0.13759101,0.0,1.0
cell_819,0.05806662,0.19659139,0.1905832,0.0,1.0
cell_845,1.0,0.1523528,0.21246043,0.0,0.06589897
cell_1127,0.12219677,1.0,0.20053391,0.0,0.25768454
cell_1252,0.58034016,0.44208226,1.0,0.0,0.72816235
cell_1349,0.24613922,1.0,0.5520412,0.0,0.79933745
cell_1402,0.16409281,1.0,0.78863028,0.0,0.588257
cell_1420,1.0,0.80488274,0.86698231,0.0,0.61273611
cell_1563,0.27864817,1.0,0.60970956,0.0,0.09140508
cell_1595,0.10403659,0.30794803,1.0,0.0,0.96531135
cell_1685,0.01473888,1.0,0.22373511,0.0,0.0108783
