,rsp,pm,am,al,lm
cell_34,0.16140276,1.0,0.17658255,0.0,0.0
cell_254,0.11055899,1.0,0.38674396,0.0,0.0
cell_364,0.92302206,1.0,0.84152622,0.0,0.0
cell_616,0.4226633,1.0,0.77522415,0.0,0.0
cell_999,0.40623811,0.24756606,1.0,0.0,0.0
cell_1014,1.0,0.34013649,0.38164504,0.0,0.0
cell_1021,0.57351263,0.61163381,1.0,0.0,0.0
cell_1205,0.24862547,1.0,0.61201907,0.0,0.0
cell_1218,0.31966278,0.80357509,1.0,0.0,0.0
cell_1266,0.05791511,1.0,0.27720864,0.0,0.0
cell_1293,0.83385718,0.42998316,1.0,0.0,0.0
cell_1424,0.14382343,0.22142555,1.0,0.0,0.0
cell_1580,0.06953085,1.0,0.83296832,0.0,0.0
