,rsp,pm,am,al,lm
cell_11,0.0,0.0,0.0,0.46785394,1.0
cell_13,0.0,0.0,0.0,1.0,0.23155375
cell_22,0.0,0.0,0.0,0.62380526,1.0
cell_24,0.0,0.0,0.0,1.0,0.24662529
cell_30,0.0,0.0,0.0,1.0,0.44529567
cell_31,0.0,0.0,0.0,0.17823007,1.0
cell_40,0.0,0.0,0.0,0.76557918,1.0
cell_49,0.0,0.0,0.0,1.0,0.06562252
cell_60,0.0,0.0,0.0,1.0,0.35623653
cell_80,0.0,0.0,0.0,0.25519306,1.0
cell_81,0.0,0.0,0.0,1.0,0.99746229
cell_84,0.0,0.0,0.0,1.0,0.35623653
cell_107,0.0,0.0,0.0,1.0,0.45123294
cell_110,0.0,0.0,0.0,0.20793509,1.0
cell_129,0.0,0.0,0.0,1.0,0.25728194
