,rsp,pm,am,al,lm
cell_286,0.0,0.0,0.02271462,1.0,0.0
cell_650,0.0,0.0,1.0,0.98706897,0.0
cell_672,0.0,0.0,1.0,0.32902299,0.0
cell_761,0.0,0.0,0.53142857,1.0,0.0
cell_769,0.0,0.0,1.0,0.94086021,0.0
cell_803,0.0,0.0,0.21257143,1.0,0.0
cell_821,0.0,0.0,1.0,0.94086022,0.0
cell_967,0.0,0.0,1.0,0.37573099,0.0
cell_1001,0.0,0.0,1.0,0.40988836,0.0
cell_2275,0.0,0.0,1.0,0.57815382,0.0
cell_2313,0.0,0.0,0.37865169,1.0,0.0
cell_2424,0.0,0.0,1.0,0.31002451,0.0
cell_3214,0.0,0.0,1.0,0.50932599,0.0
cell_3331,0.0,0.0,0.42072409,1.0,0.0
cell_3359,0.0,0.0,0.12621723,1.0,0.0
cell_3643,0.0,0.0,0.13571745,1.0,0.0
