,rsp,pm,am,al,lm
cell_83,0.0,0.0,0.85216167,0.0,1.0
cell_162,0.0,0.0,0.31495692,0.0,1.0
cell_412,0.0,0.0,0.48196507,0.0,1.0
cell_423,0.0,0.0,1.0,0.0,0.3947255
cell_447,0.0,0.0,0.46342795,0.0,1.0
cell_448,0.0,0.0,0.48781889,0.0,1.0
cell_460,0.0,0.0,0.40298082,0.0,1.0
cell_465,0.0,0.0,0.64166947,0.0,1.0
cell_508,0.0,0.0,1.0,0.0,0.80918728
cell_583,0.0,0.0,1.0,0.0,0.71927758
cell_607,0.0,0.0,1.0,0.0,0.58849984
cell_649,0.0,0.0,0.77237991,0.0,1.0
cell_656,0.0,0.0,1.0,0.0,0.28771103
cell_659,0.0,0.0,0.61790393,0.0,1.0
cell_712,0.0,0.0,0.61790393,0.0,1.0
cell_946,0.0,0.0,0.63769996,0.0,1.0
cell_1247,0.0,0.0,0.2087018,0.0,1.0
cell_1538,0.0,0.0,0.36522816,0.0,1.0
cell_1545,0.0,0.0,0.49193997,0.0,1.0
cell_1720,0.0,0.0,0.31305271,0.0,1.0
cell_2021,0.0,0.0,1.0,0.0,0.52150053
cell_2122,0.0,0.0,0.48175198,0.0,1.0
cell_2146,0.0,0.0,0.60880744,0.0,1.0
cell_2181,0.0,0.0,0.07330123,0.0,1.0
cell_2299,0.0,0.0,0.27793383,0.0,1.0
cell_2568,0.0,0.0,0.04876032,0.0,1.0
cell_2636,0.0,0.0,1.0,0.0,0.59966311
cell_2771,0.0,0.0,0.06275925,0.0,1.0
cell_2843,0.0,0.0,0.74115689,0.0,1.0
cell_2956,0.0,0.0,1.0,0.0,0.18610234
cell_2980,0.0,0.0,0.16917712,0.0,1.0
cell_3043,0.0,0.0,0.26330574,0.0,1.0
cell_3121,0.0,0.0,0.14169176,0.0,1.0
cell_3132,0.0,0.0,0.06806543,0.0,1.0
cell_3477,0.0,0.0,0.85518102,0.0,1.0
cell_3534,0.0,0.0,0.43234152,0.0,1.0
cell_3591,0.0,0.0,0.27793383,0.0,1.0
cell_3639,0.0,0.0,0.38483146,0.0,1.0
cell_3684,0.0,0.0,0.70746794,0.0,1.0
cell_3725,0.0,0.0,0.74115689,0.0,1.0
cell_3740,0.0,0.0,1.0,0.0,0.22487367
cell_3797,0.0,0.0,0.46692884,0.0,1.0
