,rsp,pm,am,al,lm
cell_409,0.0,0.84748858,0.0,1.0,0.36435022
cell_538,0.0,0.11556663,0.0,1.0,0.96884035
cell_645,0.0,0.42374429,0.0,1.0,0.89431417
cell_680,0.0,1.0,0.0,0.21453762,0.19541707
cell_934,0.0,0.46325377,0.0,0.32346491,1.0
cell_1009,0.0,1.0,0.0,0.50781499,0.30662558
cell_1051,0.0,0.57015848,0.0,0.39811066,1.0
cell_1085,0.0,1.0,0.0,0.08312448,0.57820823
cell_1215,0.0,0.06800055,0.0,0.12345083,1.0
cell_1244,0.0,1.0,0.0,0.09051332,0.38725675
cell_1502,0.0,0.68419018,0.0,0.39811066,1.0
cell_1503,0.0,0.60394565,0.0,0.46003899,1.0
cell_2152,0.0,0.51605239,0.0,0.99091246,1.0
cell_2231,0.0,1.0,0.0,0.26669139,0.67284297
cell_2378,0.0,0.10669742,0.0,1.0,0.99686392
cell_2386,0.0,0.93046927,0.0,1.0,0.47094641
cell_2412,0.0,0.6999351,0.0,1.0,0.78715328
cell_2486,0.0,0.14744354,0.0,0.56623569,1.0
cell_2530,0.0,0.49541029,0.0,0.12331355,1.0
cell_2560,0.0,0.34371813,0.0,1.0,0.15137563
cell_2640,0.0,0.44113556,0.0,1.0,0.93496714
cell_2755,0.0,0.83325607,0.0,1.0,0.25229272
cell_2756,0.0,0.05179078,0.0,1.0,0.44743626
cell_2839,0.0,0.11009118,0.0,0.70464886,1.0
cell_2934,0.0,0.39769039,0.0,1.0,0.25229272
cell_2950,0.0,0.22706305,0.0,0.19818249,1.0
cell_3000,0.0,0.11903658,0.0,1.0,0.18020909
cell_3003,0.0,0.26512693,0.0,1.0,0.98623518
cell_3185,0.0,0.07179859,0.0,0.63188621,1.0
cell_3289,0.0,1.0,0.0,0.92043933,0.11789638
cell_3409,0.0,0.36054349,0.0,1.0,0.32021768
cell_3547,0.0,0.26039252,0.0,1.0,0.25229272
cell_3637,0.0,0.8521937,0.0,1.0,0.41284263
cell_3668,0.0,0.07935772,0.0,1.0,0.73285028
cell_3693,0.0,1.0,0.0,0.28237912,0.21372659
