,rsp,pm,am,al,lm
cell_111,0.0,0.53646746,0.0,1.0,0.0
cell_116,0.0,0.32224876,0.0,1.0,0.0
cell_240,0.0,0.38008828,0.0,1.0,0.0
cell_272,0.0,1.0,0.0,0.30797281,0.0
cell_725,0.0,0.34255577,0.0,1.0,0.0
cell_1106,0.0,0.20885678,0.0,1.0,0.0
cell_1192,0.0,1.0,0.0,0.59849624,0.0
cell_1318,0.0,1.0,0.0,0.79799499,0.0
cell_1832,0.0,1.0,0.0,0.1846907,0.0
cell_1880,0.0,1.0,0.0,0.45249221,0.0
cell_2148,0.0,1.0,0.0,0.17144447,0.0
cell_2168,0.0,0.20831402,0.0,1.0,0.0
cell_2171,0.0,1.0,0.0,0.48004451,0.0
cell_2484,0.0,0.08063768,0.0,1.0,0.0
cell_2507,0.0,0.34719003,0.0,1.0,0.0
cell_2546,0.0,1.0,0.0,0.53338279,0.0
cell_2575,0.0,0.14879573,0.0,1.0,0.0
cell_2629,0.0,0.71421948,0.0,1.0,0.0
cell_2664,0.0,1.0,0.0,0.35558853,0.0
cell_2701,0.0,1.0,0.0,0.38098771,0.0
cell_2703,0.0,0.72909906,0.0,1.0,0.0
cell_2805,0.0,1.0,0.0,0.53338279,0.0
cell_2927,0.0,0.17855487,0.0,1.0,0.0
cell_2943,0.0,0.62494205,0.0,1.0,0.0
cell_2959,0.0,0.43745943,0.0,1.0,0.0
cell_2997,0.0,0.39058878,0.0,1.0,0.0
cell_3189,0.0,0.42759193,0.0,1.0,0.0
cell_3257,0.0,0.93741307,0.0,1.0,0.0
cell_3311,0.0,0.18290987,0.0,1.0,0.0
cell_3330,0.0,1.0,0.0,0.24617667,0.0
cell_3388,0.0,0.0637696,0.0,1.0,0.0
cell_3414,0.0,0.0555504,0.0,1.0,0.0
cell_3417,0.0,0.29409038,0.0,1.0,0.0
cell_3450,0.0,0.06047826,0.0,1.0,0.0
cell_3510,0.0,0.04236895,0.0,1.0,0.0
cell_3546,0.0,0.62494205,0.0,1.0,0.0
cell_3561,0.0,0.31247102,0.0,1.0,0.0
cell_3562,0.0,0.19735012,0.0,1.0,0.0
cell_3567,0.0,0.22725165,0.0,1.0,0.0
cell_3724,0.0,0.27775202,0.0,1.0,0.0
cell_3803,0.0,0.39058878,0.0,1.0,0.0
cell_3811,0.0,1.0,0.0,0.48004451,0.0
