,rsp,pm,am,al,lm
cell_716,0.0,0.65397011,0.35428571,1.0,0.94996409
cell_1003,0.0,0.25942211,0.31566148,0.20701754,1.0
cell_1019,0.0,0.55083108,0.51182281,1.0,0.89178618
cell_1476,0.0,0.77208961,0.23913748,0.2372076,1.0
cell_1552,0.0,0.41178113,0.22319498,0.14376218,1.0
cell_2166,0.0,0.19587736,0.13186875,1.0,0.1016702
cell_2198,0.0,1.0,0.08631038,0.82058891,0.93162873
cell_2212,0.0,0.67234254,0.18264223,0.11324714,1.0
cell_2222,0.0,1.0,0.26447967,0.17144447,0.4757961
cell_2501,0.0,1.0,0.39972495,0.15001391,0.45416901
cell_2561,0.0,0.35899297,0.62837214,0.91910721,1.0
cell_2987,0.0,0.87376258,1.0,0.41944493,0.95240612
cell_3105,0.0,0.74311544,0.12970246,0.74868942,1.0
cell_3157,0.0,0.21649502,1.0,0.05773736,0.13110044
cell_3258,0.0,1.0,0.24480763,0.63036148,0.22020315
cell_3267,0.0,0.64296922,0.18204408,1.0,0.56038094
cell_3293,0.0,0.07339412,0.07411569,0.32296406,1.0
cell_3309,0.0,0.28581363,0.29931336,0.35571217,1.0
cell_3544,0.0,0.15621045,0.05007817,0.03570856,1.0
cell_3575,0.0,0.78815274,0.58113438,0.3603318,1.0
cell_3622,0.0,1.0,0.2894221,0.31404781,0.03395656
