,rsp,pm,am,al,lm
cell_160,0.0,0.51559801,0.03357813,1.0,0.0
cell_782,0.0,0.34515089,0.26571429,1.0,0.0
cell_798,0.0,0.25637269,1.0,0.47043011,0.0
cell_2316,0.0,0.66400093,0.34183833,1.0,0.0
cell_2505,0.0,0.11362583,0.42072409,1.0,0.0
cell_2595,0.0,1.0,0.40393258,0.24002226,0.0
cell_2689,0.0,1.0,0.73306284,0.6756182,0.0
cell_2832,0.0,1.0,0.16830524,0.36367008,0.0
cell_3204,0.0,0.76381806,0.88819531,1.0,0.0
cell_3233,0.0,0.37496523,0.14239892,1.0,0.0
cell_3283,0.0,1.0,0.44881398,0.53338279,0.0
cell_3367,0.0,0.51918263,0.03236339,1.0,0.0
cell_3606,0.0,1.0,0.21420667,0.72734017,0.0
cell_3663,0.0,0.24689069,0.31164748,1.0,0.0
