,rsp,pm,am,al,lm
cell_26,0.0,0.62105023,1.0,0.0,0.88656242
cell_62,0.0,1.0,0.93779464,0.0,0.49718526
cell_202,0.0,1.0,0.43366226,0.0,0.33237316
cell_208,0.0,1.0,0.82525928,0.0,0.60526902
cell_462,0.0,0.09121676,0.10904187,0.0,1.0
cell_475,0.0,0.06535388,1.0,0.0,0.03371614
cell_588,0.0,0.41826484,1.0,0.0,0.62936788
cell_1184,0.0,1.0,0.09245601,0.0,0.26177587
cell_1236,0.0,1.0,0.03601484,0.0,0.14641966
cell_1254,0.0,1.0,0.29781503,0.0,0.15567145
cell_1333,0.0,1.0,0.24637425,0.0,0.61325116
cell_1340,0.0,0.74120603,0.19130999,0.0,1.0
cell_1445,0.0,1.0,0.12905318,0.0,0.66208412
cell_1507,0.0,1.0,0.14339242,0.0,0.52467043
cell_1617,0.0,0.98758498,1.0,0.0,0.61495513
cell_1655,0.0,0.78021687,0.1510342,0.0,1.0
cell_1695,0.0,0.46123475,1.0,0.0,0.68450363
cell_1826,0.0,1.0,0.33969112,0.0,0.05232054
cell_1881,0.0,1.0,0.56914286,0.0,0.67755102
cell_2005,0.0,0.25994121,1.0,0.0,0.40874366
cell_2213,0.0,1.0,0.37927942,0.0,0.90407351
cell_2372,0.0,0.34278378,1.0,0.0,0.55353518
cell_2474,0.0,1.0,0.22440699,0.0,0.20185289
cell_2476,0.0,1.0,0.26520826,0.0,0.25690368
cell_2541,0.0,1.0,0.53857678,0.0,0.48444694
cell_2545,0.0,0.52843764,0.17787765,0.0,1.0
cell_2653,0.0,1.0,0.17160535,0.0,0.70450617
cell_2674,0.0,0.36806282,1.0,0.0,0.1592026
cell_2682,0.0,1.0,0.12021803,0.0,0.51905029
cell_2698,0.0,0.204242,1.0,0.0,0.44974733
cell_2710,0.0,1.0,0.42519219,0.0,0.57368717
cell_2715,0.0,1.0,0.24043606,0.0,0.43254191
cell_2748,0.0,1.0,0.04105006,0.0,0.04430917
cell_2784,0.0,0.34950503,1.0,0.0,0.52911451
cell_2790,0.0,0.37013413,0.09583925,0.0,1.0
cell_2810,0.0,1.0,0.10771536,0.0,0.21800112
cell_2836,0.0,1.0,0.69493778,0.0,0.23440981
cell_2837,0.0,0.24087509,1.0,0.0,0.437592
cell_3019,0.0,0.5821148,1.0,0.0,0.41328133
cell_3128,0.0,1.0,0.7250072,0.0,0.55897724
cell_3260,0.0,1.0,0.42841335,0.0,0.93586341
cell_3296,0.0,0.33027353,0.18065699,0.0,1.0
cell_3378,0.0,0.45037299,0.50533424,0.0,1.0
cell_3386,0.0,0.56494156,0.39983464,0.0,1.0
cell_3410,0.0,0.91742647,0.55586767,0.0,1.0
cell_3418,0.0,1.0,0.59841864,0.0,0.20185289
cell_3431,0.0,0.55045588,0.15440768,0.0,1.0
cell_3455,0.0,0.68806985,0.74115689,0.0,1.0
cell_3574,0.0,1.0,0.52208973,0.0,0.8898005
cell_3597,0.0,1.0,0.3625036,0.0,0.74530298
cell_3686,0.0,0.25950063,0.238229,0.0,1.0
cell_3772,0.0,1.0,0.10871892,0.0,0.71463446
cell_3798,0.0,1.0,0.67322097,0.0,0.33030473
cell_3825,0.0,0.19659139,0.31763867,0.0,1.0
