,rsp,pm,am,al,lm
cell_59,0.0,0.1810584,0.0,0.0,1.0
cell_220,0.0,1.0,0.0,0.0,0.60526902
cell_231,0.0,1.0,0.0,0.0,0.50439085
cell_280,0.0,0.77100703,0.0,0.0,1.0
cell_346,0.0,0.52869053,0.0,0.0,1.0
cell_471,0.0,1.0,0.0,0.0,0.70350145
cell_807,0.0,1.0,0.0,0.0,0.11270257
cell_835,0.0,0.5721896,0.0,0.0,1.0
cell_845,0.0,1.0,0.0,0.0,0.59710687
cell_855,0.0,1.0,0.0,0.0,0.38547216
cell_859,0.0,0.98827471,0.0,0.0,1.0
cell_871,0.0,1.0,0.0,0.0,0.96368039
cell_882,0.0,0.39010844,0.0,0.0,1.0
cell_895,0.0,1.0,0.0,0.0,0.92754237
cell_899,0.0,1.0,0.0,0.0,0.64863103
cell_949,0.0,1.0,0.0,0.0,0.23808574
cell_995,0.0,1.0,0.0,0.0,0.67457627
cell_1002,0.0,1.0,0.0,0.0,0.56917373
cell_1041,0.0,1.0,0.0,0.0,0.31134289
cell_1048,0.0,0.59296482,0.0,0.0,1.0
cell_1049,0.0,1.0,0.0,0.0,0.61836158
cell_1072,0.0,0.85823856,0.0,0.0,1.0
cell_1081,0.0,0.71155779,0.0,0.0,1.0
cell_1098,0.0,0.23253523,0.0,0.0,1.0
cell_1101,0.0,1.0,0.0,0.0,0.36795069
cell_1133,0.0,0.68419018,0.0,0.0,1.0
cell_1140,0.0,1.0,0.0,0.0,0.28910412
cell_1157,0.0,0.22806339,0.0,0.0,1.0
cell_1169,0.0,1.0,0.0,0.0,0.61836158
cell_1195,0.0,1.0,0.0,0.0,0.72454488
cell_1201,0.0,0.46813012,0.0,0.0,1.0
cell_1205,0.0,1.0,0.0,0.0,0.59025424
cell_1223,0.0,1.0,0.0,0.0,0.30662558
cell_1230,0.0,1.0,0.0,0.0,0.1395675
cell_1251,0.0,1.0,0.0,0.0,0.39054416
cell_1257,0.0,1.0,0.0,0.0,0.57820823
cell_1269,0.0,1.0,0.0,0.0,0.71205273
