,rsp,pm,am,al,lm
cell_582,0.63848643,0.0,1.0,0.0,0.0
cell_704,0.35914862,0.0,1.0,0.0,0.0
cell_711,0.23943241,0.0,1.0,0.0,0.0
cell_764,1.0,0.0,0.44805195,0.0,0.0
cell_838,1.0,0.0,0.98571429,0.0,0.0
cell_898,1.0,0.0,0.38961259,0.0,0.0
cell_1405,1.0,0.0,0.54863813,0.0,0.0
cell_1417,1.0,0.0,0.36575875,0.0,0.0
cell_2000,0.54937185,0.0,1.0,0.0,0.0
cell_2427,1.0,0.0,0.32235375,0.0,0.0
cell_2562,1.0,0.0,0.1552367,0.0,0.0
cell_2788,1.0,0.0,0.82053683,0.0,0.0
cell_2894,0.40623811,0.0,1.0,0.0,0.0
cell_3188,0.30467859,0.0,1.0,0.0,0.0
cell_3241,0.60935717,0.0,1.0,0.0,0.0
