,rsp,pm,am,al,lm
cell_72,1.0,0.0,0.0,0.0,0.7472255
cell_685,1.0,0.0,0.0,0.0,0.3942874
cell_816,0.6726248,0.0,0.0,0.0,1.0
cell_843,1.0,0.0,0.0,0.0,0.55063443
cell_869,1.0,0.0,0.0,0.0,0.40892655
cell_963,0.47192449,0.0,0.0,0.0,1.0
cell_1044,0.19925701,0.0,0.0,0.0,1.0
cell_1068,0.33034714,0.0,0.0,0.0,1.0
cell_1093,0.74721378,0.0,0.0,0.0,1.0
cell_1178,0.83260964,0.0,0.0,0.0,1.0
cell_1180,0.58282675,0.0,0.0,0.0,1.0
cell_1189,1.0,0.0,0.0,0.0,0.49566855
cell_1194,0.36681404,0.0,0.0,0.0,1.0
cell_1232,0.36426672,0.0,0.0,0.0,1.0
cell_1239,0.32023448,0.0,0.0,0.0,1.0
cell_1285,1.0,0.0,0.0,0.0,0.58187178
cell_1294,0.38428137,0.0,0.0,0.0,1.0
cell_1353,0.57642206,0.0,0.0,0.0,1.0
cell_1357,0.6897358,0.0,0.0,0.0,1.0
cell_1404,0.20852478,0.0,0.0,0.0,1.0
cell_1477,1.0,0.0,0.0,0.0,0.89220339
cell_1514,0.59777102,0.0,0.0,0.0,1.0
cell_1539,0.26372251,0.0,0.0,0.0,1.0
cell_1579,0.34158344,0.0,0.0,0.0,1.0
cell_1648,0.82193516,0.0,0.0,0.0,1.0
cell_1668,1.0,0.0,0.0,0.0,0.2920904
cell_1715,1.0,0.0,0.0,0.0,0.35688136
cell_1796,0.1426499,0.0,0.0,0.0,1.0
cell_1886,1.0,0.0,0.0,0.0,0.93644315
cell_2737,0.24194425,0.0,0.0,0.0,1.0
cell_3408,0.55789497,0.0,0.0,0.0,1.0
