,rsp,pm,am,al,lm
cell_709,0.81777446,1.0,0.39847162,0.0,0.42991755
cell_1568,0.96896755,0.78902577,0.51838835,0.0,1.0
cell_1608,0.49145137,1.0,0.29036965,0.0,0.54809322
cell_2274,0.5944948,0.43475016,1.0,0.0,0.26326673
cell_2290,0.64867054,0.67082417,1.0,0.0,0.63835105
cell_2420,0.46151103,1.0,0.25245787,0.0,0.98403285
cell_2525,0.09889522,1.0,0.02704906,0.0,0.15138967
cell_2618,0.01088149,1.0,0.33928908,0.0,0.04818769
cell_2739,0.0546976,1.0,0.07052791,0.0,0.74973931
cell_2855,0.13593487,1.0,0.25494759,0.0,0.20782487
cell_2860,0.13392465,0.96305919,1.0,0.0,0.90937922
cell_2890,0.15823507,0.10245712,0.05680399,0.0,1.0
cell_2907,0.20457464,0.50685541,0.13759101,0.0,1.0
cell_2938,0.05806662,0.19659139,0.1905832,0.0,1.0
cell_2964,1.0,0.1523528,0.21246043,0.0,0.06589897
cell_3246,0.12219677,1.0,0.20053391,0.0,0.25768454
cell_3371,0.58034016,0.44208226,1.0,0.0,0.72816235
cell_3468,0.24613922,1.0,0.5520412,0.0,0.79933745
cell_3521,0.16409281,1.0,0.78863028,0.0,0.588257
cell_3539,1.0,0.80488274,0.86698231,0.0,0.61273611
cell_3682,0.27864817,1.0,0.60970956,0.0,0.09140508
cell_3714,0.10403659,0.30794803,1.0,0.0,0.96531135
cell_3804,0.01473888,1.0,0.22373511,0.0,0.0108783
