,rsp,pm,am,al,lm
cell_646,0.71829724,0.41826484,1.0,0.0,0.0
cell_1114,1.0,0.82663317,0.42671855,0.0,0.0
cell_1376,0.26298401,1.0,0.13466419,0.0,0.0
cell_1421,0.69127225,1.0,0.22123402,0.0,0.0
cell_1867,0.12791096,1.0,0.21342857,0.0,0.0
cell_2153,0.16140276,1.0,0.17658255,0.0,0.0
cell_2373,0.11055899,1.0,0.38674396,0.0,0.0
cell_2483,0.92302206,1.0,0.84152622,0.0,0.0
cell_2735,0.4226633,1.0,0.77522415,0.0,0.0
cell_3118,0.40623811,0.24756606,1.0,0.0,0.0
cell_3133,1.0,0.34013649,0.38164504,0.0,0.0
cell_3140,0.57351263,0.61163381,1.0,0.0,0.0
cell_3324,0.24862547,1.0,0.61201907,0.0,0.0
cell_3337,0.31966278,0.80357509,1.0,0.0,0.0
cell_3385,0.05791511,1.0,0.27720864,0.0,0.0
cell_3412,0.83385718,0.42998316,1.0,0.0,0.0
cell_3543,0.14382343,0.22142555,1.0,0.0,0.0
cell_3699,0.06953085,1.0,0.83296832,0.0,0.0
