,rsp,pm,am,al,lm
cell_536,1.0,0.78386606,0.0,0.0,0.80879466
cell_754,0.46166184,1.0,0.0,0.0,0.46301971
cell_876,0.78632219,1.0,0.0,0.0,0.40474576
cell_989,1.0,0.763046,0.0,0.0,0.51473272
cell_1078,0.40757115,0.67382366,0.0,0.0,1.0
cell_1122,0.51237516,0.27227977,0.0,0.0,1.0
cell_1162,0.26567601,0.2196166,0.0,0.0,1.0
cell_1172,0.23522459,1.0,0.0,0.0,0.44971751
cell_1227,0.09149556,0.4235463,0.0,0.0,1.0
cell_1293,0.74444704,1.0,0.0,0.0,0.36323338
cell_1316,0.96778116,1.0,0.0,0.0,0.44971751
cell_1351,0.83687943,0.49413735,0.0,0.0,1.0
cell_1358,0.30243161,1.0,0.0,0.0,0.44971751
cell_1368,0.09622824,1.0,0.0,0.0,0.38328197
cell_1383,0.25202634,1.0,0.0,0.0,0.56214689
cell_1395,1.0,0.82663317,0.0,0.0,0.97584746
cell_1426,1.0,0.37474037,0.0,0.0,0.17844068
cell_1433,0.30243161,1.0,0.0,0.0,0.33728814
cell_1436,0.40324215,1.0,0.0,0.0,0.74952919
cell_1452,0.62076222,0.59866641,0.0,0.0,1.0
cell_1459,1.0,0.87014017,0.0,0.0,0.46958073
cell_1484,0.42473204,0.8972494,0.0,0.0,1.0
cell_1564,0.92169634,1.0,0.0,0.0,0.77094431
cell_1630,0.66534954,1.0,0.0,0.0,0.47220339
cell_1644,0.44832827,0.52943288,0.0,0.0,1.0
cell_1697,0.43204516,1.0,0.0,0.0,0.86731235
cell_2992,1.0,0.29251739,0.0,0.0,0.2952274
