,rsp,pm,am,al,lm
cell_923,0.43990052,1.0,0.0,0.0,0.0
cell_951,0.12830432,1.0,0.0,0.0,0.0
cell_1007,1.0,0.79356784,0.0,0.0,0.0
cell_1022,0.08640903,1.0,0.0,0.0,0.0
cell_1050,0.17281806,1.0,0.0,0.0,0.0
cell_1096,1.0,0.72330402,0.0,0.0,0.0
cell_1110,1.0,0.11481016,0.0,0.0,0.0
cell_1113,0.34563613,1.0,0.0,0.0,0.0
cell_1119,1.0,0.85724921,0.0,0.0,0.0
cell_1281,1.0,0.50869733,0.0,0.0,0.0
cell_1331,0.69127225,1.0,0.0,0.0,0.0
cell_1347,0.38491296,1.0,0.0,0.0,0.0
cell_1349,1.0,0.94472362,0.0,0.0,0.0
cell_1360,1.0,0.40214586,0.0,0.0,0.0
cell_1441,0.98290274,1.0,0.0,0.0,0.0
cell_1449,0.2592271,1.0,0.0,0.0,0.0
cell_1515,0.33603512,1.0,0.0,0.0,0.0
cell_1530,0.41130699,1.0,0.0,0.0,0.0
cell_1562,0.36291793,1.0,0.0,0.0,0.0
cell_1594,1.0,0.63997406,0.0,0.0,0.0
cell_1600,0.08640903,1.0,0.0,0.0,0.0
cell_1603,0.35283688,1.0,0.0,0.0,0.0
cell_1638,0.32992539,1.0,0.0,0.0,0.0
cell_1672,1.0,0.82663317,0.0,0.0,0.0
cell_1710,0.55445795,1.0,0.0,0.0,0.0
cell_1746,0.20162107,1.0,0.0,0.0,0.0
cell_1778,1.0,0.59045226,0.0,0.0,0.0
cell_1784,0.8064843,1.0,0.0,0.0,0.0
cell_1787,0.5376562,1.0,0.0,0.0,0.0
cell_1846,0.06201743,1.0,0.0,0.0,0.0
cell_1850,0.30096696,1.0,0.0,0.0,0.0
cell_1859,0.56849315,1.0,0.0,0.0,0.0
cell_1895,0.28424658,1.0,0.0,0.0,0.0
cell_2246,0.38288323,1.0,0.0,0.0,0.0
cell_2473,0.57432484,1.0,0.0,0.0,0.0
cell_2716,1.0,0.46877786,0.0,0.0,0.0
cell_3030,0.20511601,1.0,0.0,0.0,0.0
cell_3492,1.0,0.43529373,0.0,0.0,0.0
