,Motif,Observed,Expected
0,,0.0,0
1,rsp,29.0,176
2,pm,306.0,176
3,am,97.0,176
4,al,1220.0,176
5,lm,1215.0,176
6,rsp+pm,38.0,56
7,rsp+am,15.0,56
8,rsp+al,6.0,56
9,rsp+lm,31.0,56
10,pm+am,89.0,56
11,pm+al,42.0,56
12,pm+lm,144.0,56
13,am+al,16.0,56
14,am+lm,42.0,56
15,al+lm,309.0,56
16,rsp+pm+am,18.0,17
17,rsp+pm+al,6.0,17
18,rsp+pm+lm,27.0,17
19,rsp+am+al,2.0,17
20,rsp+am+lm,3.0,17
21,rsp+al+lm,6.0,17
22,pm+am+al,14.0,17
23,pm+am+lm,54.0,17
24,pm+al+lm,35.0,17
25,am+al+lm,10.0,17
26,rsp+pm+am+al,4.0,5
27,rsp+pm+am+lm,23.0,5
28,rsp+pm+al+lm,8.0,5
29,rsp+am+al+lm,1.0,5
30,pm+am+al+lm,21.0,5
31,rsp+pm+am+al+lm,9.0,1
