Motif,Observed,Expected
rsp,29.0,176
pm,306.0,176
am,97.0,176
al,1220.0,176
lm,1215.0,176
rsp+pm,38.0,56
rsp+am,15.0,56
rsp+al,6.0,56
rsp+lm,31.0,56
pm+am,89.0,56
pm+al,42.0,56
pm+lm,144.0,56
am+al,16.0,56
am+lm,42.0,56
al+lm,309.0,56
rsp+pm+am,18.0,17
rsp+pm+al,6.0,17
rsp+pm+lm,27.0,17
rsp+am+al,2.0,17
rsp+am+lm,3.0,17
rsp+al+lm,6.0,17
pm+am+al,14.0,17
pm+am+lm,54.0,17
pm+al+lm,35.0,17
am+al+lm,10.0,17
rsp+pm+am+al,4.0,5
rsp+pm+am+lm,23.0,5
rsp+pm+al+lm,8.0,5
rsp+am+al+lm,1.0,5
pm+am+al+lm,21.0,5
rsp+pm+am+al+lm,9.0,1
