Motif,H_statistic,p_value,significant,n_groups,note,normalization,P12,P20,P60
,,,False,3,Insufficient variation in groups,global,,,
rsp,1.0577844813138915,0.5892573636139091,False,3,,global,6.0,5.0,9.0
pm,1.8469841269841112,0.39712981433600375,False,3,,global,6.0,5.0,9.0
am,5.069843658556971,0.07926791545269206,False,3,,global,6.0,5.0,9.0
al,2.287936507936493,0.31855241348773417,False,3,,global,6.0,5.0,9.0
lm,0.653333333333336,0.7213241443389411,False,3,,global,6.0,5.0,9.0
pm+rsp,0.06172839506173015,0.8037847062530987,False,2,,global,6.0,5.0,9.0
am+rsp,5.641784511784518,0.059552782675047204,False,3,,global,6.0,5.0,9.0
al+rsp,0.3132236528373827,0.8550358967543488,False,3,,global,6.0,5.0,9.0
lm+rsp,1.102362996480649,0.5762685477293285,False,3,,global,6.0,5.0,9.0
am+pm,3.2403174603174563,0.19786728908462006,False,3,,global,6.0,5.0,9.0
al+pm,2.6080246913580316,0.10632412556571962,False,2,,global,6.0,5.0,9.0
lm+pm,2.528329571106091,0.2824751249482626,False,3,,global,6.0,5.0,9.0
al+am,8.140831212892287,0.017070292509411195,True,3,,global,6.0,5.0,9.0
am+lm,3.853494218200096,0.1456211184992141,False,3,,global,6.0,5.0,9.0
al+lm,3.685687950393836,0.15836639495094687,False,3,,global,6.0,5.0,9.0
am+pm+rsp,0.969366391184575,0.615892283250534,False,3,,global,6.0,5.0,9.0
al+pm+rsp,0.021802935010485587,0.8826125456002176,False,2,,global,6.0,5.0,9.0
lm+pm+rsp,0.4084967320261512,0.5227334925578366,False,2,,global,6.0,5.0,9.0
al+am+rsp,0.019690576652607567,0.8884047017415213,False,2,,global,6.0,5.0,9.0
am+lm+rsp,0.07876230661041012,0.7789817537180892,False,2,,global,6.0,5.0,9.0
al+lm+rsp,1.4994594594594652,0.4724942366306917,False,3,,global,6.0,5.0,9.0
al+am+pm,0.5633673903788913,0.7545123026640232,False,3,,global,6.0,5.0,9.0
am+lm+pm,2.817930449533489,0.24439604733071107,False,3,,global,6.0,5.0,9.0
al+lm+pm,1.225965965965957,0.5417324776952985,False,3,,global,6.0,5.0,9.0
al+am+lm,3.945087945087938,0.1391025326875269,False,3,,global,6.0,5.0,9.0
al+am+pm+rsp,0.6973180076628328,0.40368635262776387,False,2,,global,6.0,5.0,9.0
am+lm+pm+rsp,0.04431588613406037,0.9780857409891479,False,3,,global,6.0,5.0,9.0
al+lm+pm+rsp,,,False,3,Insufficient variation in groups,global,,,
al+am+lm+rsp,1.204901587301589,0.5474682588634028,False,3,,global,6.0,5.0,9.0
al+am+lm+pm,0.9415070242656435,0.6245314988780122,False,3,,global,6.0,5.0,9.0
al+am+lm+pm+rsp,0.0915032679738588,0.7622746903537406,False,2,,global,6.0,5.0,9.0
