Motif,Mean,SEM,N
,0.0,0.0,6
rsp,0.019354293730328417,0.006760656453523226,6
pm,0.1588651950248324,0.09245474938681386,6
am,0.10212558207788795,0.032550459133974335,6
al,0.13371816803468362,0.07970553027542504,6
lm,0.356136080171161,0.1005985668166179,6
pm+rsp,0.004942379479234032,0.00271779108406411,6
am+rsp,0.008248111499589624,0.003495119153930021,6
al+rsp,0.002361924328026023,0.0013495699482280032,6
lm+rsp,0.005601188793541967,0.0021261284601191877,6
am+pm,0.06502251343599393,0.02267319221593359,6
al+pm,0.0017491297152314102,0.001384954037917884,6
lm+pm,0.03159184098285399,0.012255953648233025,6
al+am,0.009059425647127658,0.004582899787416472,6
am+lm,0.033773621304169194,0.01755325956373106,6
al+lm,0.0283742043442477,0.009540406995786172,6
am+pm+rsp,0.0034982594304628204,0.002769908075835768,6
al+pm+rsp,0.0,0.0,6
lm+pm+rsp,0.0028882400975424236,0.002182290630917998,6
al+am+rsp,0.0006127946127946127,0.0004426553112335299,6
am+lm+rsp,0.0012255892255892255,0.0008853106224670598,6
al+lm+rsp,0.0013348546371802184,0.0006201803949195883,6
al+am+pm,0.0008745648576157051,0.000692477018958942,6
am+lm+pm,0.014749940420023195,0.005651097342080267,6
al+lm+pm,0.0014441200487712118,0.001091145315458999,6
al+am+lm,0.006323248817927573,0.002586075078610985,6
al+am+pm+rsp,0.0,0.0,6
am+lm+pm+rsp,0.003915309788388228,0.0018680184842088297,6
al+lm+pm+rsp,0.0,0.0,6
al+am+lm+rsp,0.0006127946127946127,0.0004426553112335299,6
al+am+lm+pm,0.0007220600243856059,0.0005455726577294995,6
al+am+lm+pm+rsp,0.0008745648576157051,0.000692477018958942,6
