Degree 1: P12 vs P20 -> Welch's p = 9.7055e-01, KS p = 1.0000e+00, JS Divergence = 0.0170, Significant = False, False, False
Degree 1: P20 vs P60 -> Welch's p = 9.8907e-01, KS p = 8.7302e-01, JS Divergence = 0.0875, Significant = False, False, True
Degree 1: P12 vs P60 -> Welch's p = 9.8748e-01, KS p = 8.7302e-01, JS Divergence = 0.0434, Significant = False, False, False
Degree 2: P12 vs P20 -> Welch's p = 8.8269e-01, KS p = 7.8693e-01, JS Divergence = 0.0799, Significant = False, False, True
Degree 2: P20 vs P60 -> Welch's p = 8.4198e-01, KS p = 7.8693e-01, JS Divergence = 0.1018, Significant = False, False, True
Degree 2: P12 vs P60 -> Welch's p = 9.2997e-01, KS p = 7.8693e-01, JS Divergence = 0.0828, Significant = False, False, True
Degree 3: P12 vs P20 -> Welch's p = 7.8292e-01, KS p = 9.9446e-01, JS Divergence = 0.1147, Significant = False, False, True
Degree 3: P20 vs P60 -> Welch's p = 5.6422e-01, KS p = 7.8693e-01, JS Divergence = 0.1879, Significant = False, False, True
Degree 3: P12 vs P60 -> Welch's p = 7.5586e-01, KS p = 9.9446e-01, JS Divergence = 0.0811, Significant = False, False, True
Degree 4: P12 vs P20 -> Welch's p = 6.9967e-01, KS p = 3.5714e-01, JS Divergence = 0.1360, Significant = False, False, True
Degree 4: P20 vs P60 -> Welch's p = 4.2978e-01, KS p = 8.7302e-01, JS Divergence = 0.1220, Significant = False, False, True
Degree 4: P12 vs P60 -> Welch's p = 3.3046e-01, KS p = 3.5714e-01, JS Divergence = 0.1485, Significant = False, False, True
Degree 5: P12 vs P20 -> Welch's p = nan, KS p = 1.0000e+00, JS Divergence = nan, Significant = False, False, False
Degree 5: P20 vs P60 -> Welch's p = nan, KS p = 1.0000e+00, JS Divergence = nan, Significant = False, False, False
Degree 5: P12 vs P60 -> Welch's p = nan, KS p = 1.0000e+00, JS Divergence = 0.0000, Significant = False, False, False
