Motif_Label,PC1,PC2,KMeans_Cluster
"['al', 'am', 'lm', 'pm', 'rsp']",-0.7785181393429736,-0.07446027659666135,1
"['al', 'am', 'lm', 'pm']",-0.7255072698452988,-0.0640141120825649,1
"['al', 'am', 'lm', 'rsp']",-0.7738363117203252,-0.030280955361138517,1
"['al', 'am', 'lm']",-0.573905525291697,0.08605258384181855,1
"['al', 'am', 'pm', 'rsp']",-0.7871713498297268,-0.04962249784371971,1
"['al', 'am', 'pm']",-0.7589316775077611,-0.07330417248109536,1
"['al', 'am', 'rsp']",-0.7919313433615534,-0.05817862153939828,1
"['al', 'am']",-0.42696831540118396,0.1850587619945226,1
"['al', 'lm', 'pm', 'rsp']",-0.7895122636410511,-0.07171215846148123,1
"['al', 'lm', 'pm']",-0.6996085113346573,-0.10978544733770193,1
"['al', 'lm', 'rsp']",-0.7551774994116306,-0.04233287638618334,1
"['al', 'lm']",1.0618110162979815,0.38801105594686264,0
"['al', 'pm', 'rsp']",-0.7833390058244183,-0.054274399288652034,1
"['al', 'pm']",-0.70620651095996,-0.15163881785075853,1
"['al', 'rsp']",-0.7561051489381485,-0.0555409015267941,1
['al'],5.243049462143769,-0.6383411243171547,2
"['am', 'lm', 'pm', 'rsp']",-0.6953687184802385,-0.0831405409062501,1
"['am', 'lm', 'pm']",-0.5242490102733235,-0.12068694683343678,1
"['am', 'lm', 'rsp']",-0.7809372190634759,-0.060926739674578415,1
"['am', 'lm']",-0.11481487629141672,0.09913316310108504,1
"['am', 'pm', 'rsp']",-0.6840107253231094,-0.03273104669751491,1
"['am', 'pm']",0.03435116923846281,0.05332060037194552,1
"['am', 'rsp']",-0.5470964102140973,0.06037047026344892,1
['am'],2.819445363209613,2.383873815850227,3
"['lm', 'pm', 'rsp']",-0.7167931864089272,-0.11759389183919428,1
"['lm', 'pm']",-0.25100840525826673,-0.32145832825463444,1
"['lm', 'rsp']",-0.6127830782849697,-0.05187121801253431,1
['lm'],5.997673351029331,-0.7682598019104022,2
"['pm', 'rsp']",-0.677559389788884,-0.14402368461175002,1
['pm'],0.9200266935061615,-0.11548023082970582,0
['rsp'],-0.3650171636282242,0.03383833927339513,1
