Motif,Normalization,H_statistic,p_value,significant,n_groups
,Global,,,False,3
rsp,Global,1.0577844813138915,0.5892573636139091,False,3
pm,Global,1.8469841269841112,0.39712981433600375,False,3
am,Global,5.069843658556971,0.07926791545269206,False,3
al,Global,2.287936507936493,0.31855241348773417,False,3
lm,Global,0.653333333333336,0.7213241443389411,False,3
pm+rsp,Global,0.06172839506173015,0.8037847062530987,False,2
am+rsp,Global,5.641784511784518,0.059552782675047204,False,3
al+rsp,Global,0.3132236528373827,0.8550358967543488,False,3
lm+rsp,Global,1.102362996480649,0.5762685477293285,False,3
am+pm,Global,3.2403174603174563,0.19786728908462006,False,3
al+pm,Global,2.6080246913580316,0.10632412556571962,False,2
lm+pm,Global,2.528329571106091,0.2824751249482626,False,3
al+am,Global,8.140831212892287,0.017070292509411195,True,3
am+lm,Global,3.853494218200096,0.1456211184992141,False,3
al+lm,Global,3.685687950393836,0.15836639495094687,False,3
am+pm+rsp,Global,0.969366391184575,0.615892283250534,False,3
al+pm+rsp,Global,0.021802935010485587,0.8826125456002176,False,2
lm+pm+rsp,Global,0.4084967320261512,0.5227334925578366,False,2
al+am+rsp,Global,0.019690576652607567,0.8884047017415213,False,2
am+lm+rsp,Global,0.07876230661041012,0.7789817537180892,False,2
al+lm+rsp,Global,1.4994594594594652,0.4724942366306917,False,3
al+am+pm,Global,0.5633673903788913,0.7545123026640232,False,3
am+lm+pm,Global,2.817930449533489,0.24439604733071107,False,3
al+lm+pm,Global,1.225965965965957,0.5417324776952985,False,3
al+am+lm,Global,3.945087945087938,0.1391025326875269,False,3
al+am+pm+rsp,Global,0.6973180076628328,0.40368635262776387,False,2
am+lm+pm+rsp,Global,0.04431588613406037,0.9780857409891479,False,3
al+lm+pm+rsp,Global,,,False,3
al+am+lm+rsp,Global,1.204901587301589,0.5474682588634028,False,3
al+am+lm+pm,Global,0.9415070242656435,0.6245314988780122,False,3
al+am+lm+pm+rsp,Global,0.0915032679738588,0.7622746903537406,False,2
,Domain,,,False,3
rsp,Domain,1.0577844813138915,0.5892573636139091,False,3
pm,Domain,1.8469841269841112,0.39712981433600375,False,3
am,Domain,5.069843658556971,0.07926791545269206,False,3
al,Domain,2.287936507936493,0.31855241348773417,False,3
lm,Domain,0.653333333333336,0.7213241443389411,False,3
pm+rsp,Domain,0.06172839506173015,0.8037847062530987,False,2
am+rsp,Domain,5.641784511784518,0.059552782675047204,False,3
al+rsp,Domain,0.3132236528373827,0.8550358967543488,False,3
lm+rsp,Domain,1.102362996480649,0.5762685477293285,False,3
am+pm,Domain,3.2403174603174563,0.19786728908462006,False,3
al+pm,Domain,2.6080246913580316,0.10632412556571962,False,2
lm+pm,Domain,2.528329571106091,0.2824751249482626,False,3
al+am,Domain,8.140831212892287,0.017070292509411195,True,3
am+lm,Domain,3.853494218200096,0.1456211184992141,False,3
al+lm,Domain,3.685687950393836,0.15836639495094687,False,3
am+pm+rsp,Domain,0.969366391184575,0.615892283250534,False,3
al+pm+rsp,Domain,0.021802935010485587,0.8826125456002176,False,2
lm+pm+rsp,Domain,0.4084967320261512,0.5227334925578366,False,2
al+am+rsp,Domain,0.019690576652607567,0.8884047017415213,False,2
am+lm+rsp,Domain,0.07876230661041012,0.7789817537180892,False,2
al+lm+rsp,Domain,1.4994594594594652,0.4724942366306917,False,3
al+am+pm,Domain,0.5633673903788913,0.7545123026640232,False,3
am+lm+pm,Domain,2.817930449533489,0.24439604733071107,False,3
al+lm+pm,Domain,1.225965965965957,0.5417324776952985,False,3
al+am+lm,Domain,3.945087945087938,0.1391025326875269,False,3
al+am+pm+rsp,Domain,0.6973180076628328,0.40368635262776387,False,2
am+lm+pm+rsp,Domain,0.04431588613406037,0.9780857409891479,False,3
al+lm+pm+rsp,Domain,,,False,3
al+am+lm+rsp,Domain,1.204901587301589,0.5474682588634028,False,3
al+am+lm+pm,Domain,0.9415070242656435,0.6245314988780122,False,3
al+am+lm+pm+rsp,Domain,0.0915032679738588,0.7622746903537406,False,2
