Motif_Label,Effect Size,Stage,Significant,Observed
,0.0,P12,True,0
rsp,-0.8673378686479657,P12,True,28
pm,0.3621439774748016,P12,True,67
am,1.4545902262393966,P12,True,144
al,1.9751208543655543,P12,True,207
lm,2.508300812984164,P12,True,300
pm+rsp,-0.9975378991420896,P12,True,6
am+rsp,-0.1044531030586015,P12,False,12
al+rsp,-1.8048928211996935,P12,True,3
lm+rsp,-0.6349678197573814,P12,False,8
am+pm,1.718669134857319,P12,True,45
al+pm,-2.2199303204785372,P12,True,2
lm+pm,0.838963368575031,P12,True,24
al+am,0.1019977744088249,P12,False,14
am+lm,1.686960275129981,P12,True,44
al+lm,1.5170352736876689,P12,True,39
am+pm+rsp,0.236492560673501,P12,False,4
al+pm+rsp,-2.0854355342138615,P12,False,0
lm+pm+rsp,0.236492560673501,P12,False,4
al+am+rsp,-1.0854355342138615,P12,False,1
am+lm+rsp,-0.5004730334927051,P12,False,2
al+lm+rsp,-0.5004730334927051,P12,False,2
al+am+pm,-1.0854355342138615,P12,False,1
am+lm+pm,1.8214550613946572,P12,True,14
al+lm+pm,-0.5004730334927051,P12,False,2
al+am+lm,1.236492560673501,P12,True,9
al+am+pm+rsp,-0.8567929193056598,P12,False,0
am+lm+pm+rsp,1.7281695814154965,P12,True,5
al+lm+pm+rsp,-0.8567929193056598,P12,False,0
al+am+lm+rsp,0.1432070806943401,P12,False,1
al+am+lm+pm,0.1432070806943401,P12,False,1
al+am+lm+pm+rsp,0.7336608015878197,P12,False,1
,0.0,P20,True,0
rsp,-1.7189883763028448,P20,True,13
pm,0.2285442038030195,P20,False,53
am,2.215123688040698,P20,True,213
al,1.997218657696564,P20,True,183
lm,1.9330883202768483,P20,True,175
pm+rsp,-3.617321054164267,P20,True,0
am+rsp,0.083118663976825,P20,False,12
al+rsp,-2.617321054164267,P20,True,1
lm+rsp,-0.8099661321066629,P20,False,6
am+pm,1.1375664479992016,P20,True,26
al+pm,-3.617321054164267,P20,True,0
lm+pm,-0.8099661321066629,P20,False,6
al+am,0.906240901892746,P20,True,22
am+lm,0.8421105644730303,P20,True,21
al+lm,2.921837756943765,P20,True,92
am+pm+rsp,0.6521272604919651,P20,False,5
al+pm+rsp,-0.9328352402291912,P20,False,1
lm+pm+rsp,-1.932835240229191,P20,False,0
al+am+rsp,-1.932835240229191,P20,False,0
am+lm+rsp,-1.932835240229191,P20,False,0
al+lm+rsp,-0.3478727395080349,P20,False,2
al+am+pm,-0.9328352402291912,P20,False,1
am+lm+pm,0.6521272604919651,P20,False,5
al+lm+pm,-0.3478727395080349,P20,False,2
al+am+lm,1.874519681828413,P20,True,13
al+am+pm+rsp,0.2306412437139564,P20,False,1
am+lm+pm+rsp,0.8156037444351125,P20,False,2
al+lm+pm+rsp,-0.7693587562860436,P20,False,0
al+am+lm+rsp,0.8156037444351125,P20,False,2
al+am+lm+pm,1.2306412437139564,P20,True,3
al+am+lm+pm+rsp,-0.2340450796608155,P20,False,0
,0.0,P60,True,0
rsp,-2.566403082892846,P60,True,29
pm,0.7888011668688145,P60,True,306
am,-0.8585838343861565,P60,True,97
al,2.7805538064860382,P60,True,1220
lm,2.774633834942221,P60,True,1215
pm+rsp,-0.5528462069702436,P60,True,38
am+rsp,-1.838248425832492,P60,True,15
al+rsp,-3.030893503774888,P60,True,6
lm+rsp,-0.8382484258324918,P60,True,31
am+pm,0.6536046704971827,P60,True,89
al+pm,-0.4119836711303939,P60,False,42
lm+pm,1.341660664182443,P60,True,144
al+am,-1.7507855845821527,P60,True,16
am+lm,-0.4119836711303939,P60,False,42
al+lm,2.4378759794417455,P60,True,309
am+pm+rsp,0.0089599168868312,P60,False,18
al+pm+rsp,-1.4316126744991502,P60,True,6
lm+pm+rsp,0.5683873255008498,P60,True,27
al+am+rsp,-2.654005095835598,P60,True,2
am+lm+rsp,-2.2389675965567544,P60,True,3
al+lm+rsp,-1.4316126744991502,P60,True,6
al+am+pm,-0.3320770009482358,P60,False,14
am+lm+pm,1.5423921169679051,P60,True,54
al+lm+pm,0.930957404885558,P60,True,35
al+am+lm,-0.7795359779194572,P60,False,10
al+am+pm+rsp,-0.4198177414062764,P60,False,4
am+lm+pm+rsp,1.8432166644275176,P60,True,23
al+lm+pm+rsp,0.4281791651486735,P60,False,8
al+am+lm+rsp,-1.7417458362936389,P60,False,1
al+am+lm+pm,1.7176857823436589,P60,True,21
al+am+lm+pm+rsp,1.8314934514738177,P60,True,9
