Motif,Transition,P-value,Significant
,P3_to_P12,,False
,P12_to_P20,1.0,False
,P20_to_P60,1.0,False
rsp,P3_to_P12,,False
rsp,P12_to_P20,0.05853933728957014,False
rsp,P20_to_P60,0.04326606836872794,True
pm,P3_to_P12,,False
pm,P12_to_P20,0.6366103060087145,False
pm,P20_to_P60,0.0757175032205806,False
am,P3_to_P12,,False
am,P12_to_P20,3.4445151978865215e-08,True
am,P20_to_P60,1.904994950423195e-92,True
al,P3_to_P12,,False
al,P12_to_P20,0.8639750911364169,False
al,P20_to_P60,5.576707207902295e-10,True
lm,P3_to_P12,,False
lm,P12_to_P20,1.1367180972291783e-06,True
lm,P20_to_P60,1.824705236043641e-11,True
pm+rsp,P3_to_P12,,False
pm+rsp,P12_to_P20,0.033316734196734255,True
pm+rsp,P20_to_P60,0.000987543244208476,True
am+rsp,P3_to_P12,,False
am+rsp,P12_to_P20,0.8375550014045021,False
am+rsp,P20_to_P60,0.0015201363296646316,True
al+rsp,P3_to_P12,,False
al+rsp,P12_to_P20,0.6282963294333084,False
al+rsp,P20_to_P60,1.0,False
lm+rsp,P3_to_P12,,False
lm+rsp,P12_to_P20,1.0,False
lm+rsp,P20_to_P60,1.0,False
am+pm,P3_to_P12,,False
am+pm,P12_to_P20,0.09107677133152166,False
am+pm,P20_to_P60,0.22299775031483604,False
al+pm,P3_to_P12,,False
al+pm,P12_to_P20,0.5021998742928976,False
al+pm,P20_to_P60,0.0003850428317345772,True
lm+pm,P3_to_P12,,False
lm+pm,P12_to_P20,0.002985108760006685,True
lm+pm,P20_to_P60,2.412595382074102e-07,True
al+am,P3_to_P12,,False
al+am,P12_to_P20,0.09120115094196615,False
al+am,P20_to_P60,5.248449753998527e-08,True
am+lm,P3_to_P12,,False
am+lm,P12_to_P20,0.02229618138240045,True
am+lm,P20_to_P60,0.0044990478116564885,True
al+lm,P3_to_P12,,False
al+lm,P12_to_P20,1.721596543566379e-08,True
al+lm,P20_to_P60,0.014886089767277011,True
am+pm+rsp,P3_to_P12,,False
am+pm+rsp,P12_to_P20,0.7411600415184432,False
am+pm+rsp,P20_to_P60,0.5953391778302093,False
al+pm+rsp,P3_to_P12,,False
al+pm+rsp,P12_to_P20,0.4648648648648649,False
al+pm+rsp,P20_to_P60,1.0,False
lm+pm+rsp,P3_to_P12,,False
lm+pm+rsp,P12_to_P20,0.12830097210802566,False
lm+pm+rsp,P20_to_P60,0.009593614835521482,True
al+am+rsp,P3_to_P12,,False
al+am+rsp,P12_to_P20,1.0,False
al+am+rsp,P20_to_P60,1.0,False
am+lm+rsp,P3_to_P12,,False
am+lm+rsp,P12_to_P20,0.5021998742928976,False
am+lm+rsp,P20_to_P60,1.0,False
al+lm+rsp,P3_to_P12,,False
al+lm+rsp,P12_to_P20,1.0,False
al+lm+rsp,P20_to_P60,0.6440930902062014,False
al+am+pm,P3_to_P12,,False
al+am+pm,P12_to_P20,1.0,False
al+am+pm,P20_to_P60,0.3327806474580181,False
am+lm+pm,P3_to_P12,,False
am+lm+pm,P12_to_P20,0.1042790615830011,False
am+lm+pm,P20_to_P60,0.06020164063733771,False
al+lm+pm,P3_to_P12,,False
al+lm+pm,P12_to_P20,1.0,False
al+lm+pm,P20_to_P60,0.05122536384996879,False
al+am+lm,P3_to_P12,,False
al+am+lm,P12_to_P20,0.28399119855825816,False
al+am+lm,P20_to_P60,4.3966232884084086e-05,True
al+am+pm+rsp,P3_to_P12,,False
al+am+pm+rsp,P12_to_P20,0.4648648648648649,False
al+am+pm+rsp,P20_to_P60,1.0,False
am+lm+pm+rsp,P3_to_P12,,False
am+lm+pm+rsp,P12_to_P20,0.4603280956900716,False
am+lm+pm+rsp,P20_to_P60,0.29566703724003374,False
al+lm+pm+rsp,P3_to_P12,,False
al+lm+pm+rsp,P12_to_P20,1.0,False
al+lm+pm+rsp,P20_to_P60,0.36500229096388137,False
al+am+lm+rsp,P3_to_P12,,False
al+am+lm+rsp,P12_to_P20,0.6003861003861004,False
al+am+lm+rsp,P20_to_P60,0.08813040745958522,False
al+am+lm+pm,P3_to_P12,,False
al+am+lm+pm,P12_to_P20,0.34328024365923665,False
al+am+lm+pm,P20_to_P60,0.6023622091122875,False
al+am+lm+pm+rsp,P3_to_P12,,False
al+am+lm+pm+rsp,P12_to_P20,1.0,False
al+am+lm+pm+rsp,P20_to_P60,0.3796945346968219,False
