Motif_Label,P12,P20,P3,P60
"['AL', 'LM']",17.197452229299362,45.1219512195122,23.015873015873016,43.59605911330049
['AL'],4.784688995215311,30.5,18.32718327183272,29.084158415841586
"['AM', 'AL', 'LM']",18.75,20.0,25.0,8.536585365853659
"['AM', 'AL']",1.910828025477707,15.853658536585366,18.253968253968253,2.2167487684729066
"['AM', 'LM']",24.840764331210192,14.634146341463415,13.492063492063492,5.172413793103448
['AM'],19.37799043062201,37.0,14.145141451414514,4.641089108910891
['LM'],57.655502392344495,25.75,60.02460024600246,54.82673267326733
"['PM', 'AL', 'LM']",6.25,10.0,19.444444444444443,14.634146341463415
"['PM', 'AL']",1.2738853503184713,0.0,4.761904761904762,2.4630541871921183
"['PM', 'AM', 'AL', 'LM']",16.666666666666668,0.0,70.0,38.46153846153846
"['PM', 'AM', 'AL']",3.125,10.0,13.88888888888889,3.658536585365854
"['PM', 'AM', 'LM']",43.75,10.0,11.11111111111111,24.390243902439025
"['PM', 'AM']",28.662420382165607,6.097560975609756,3.9682539682539684,7.142857142857143
"['PM', 'LM']",15.286624203821656,1.2195121951219512,21.428571428571427,20.689655172413794
['PM'],15.07177033492823,5.0,6.150061500615006,9.900990099009901
"['RSP', 'AL', 'LM']",3.125,10.0,5.555555555555555,6.097560975609756
"['RSP', 'AL']",1.2738853503184713,1.2195121951219512,0.7936507936507936,1.2315270935960592
"['RSP', 'AM', 'AL', 'LM']",0.0,0.0,0.0,0.0
"['RSP', 'AM', 'AL']",0.0,0.0,5.555555555555555,1.2195121951219512
"['RSP', 'AM', 'LM']",0.0,0.0,0.0,0.0
"['RSP', 'AM']",2.5477707006369426,10.975609756097562,3.9682539682539684,2.2167487684729066
"['RSP', 'LM']",3.1847133757961785,4.878048780487805,5.555555555555555,7.142857142857143
"['RSP', 'PM', 'AL', 'LM']",0.0,0.0,20.0,38.46153846153846
"['RSP', 'PM', 'AL']",0.0,10.0,2.7777777777777777,3.658536585365854
"['RSP', 'PM', 'AM', 'AL', 'LM']",100.0,0.0,100.0,0.0
"['RSP', 'PM', 'AM', 'AL']",0.0,0.0,0.0,0.0
"['RSP', 'PM', 'AM', 'LM']",83.33333333333333,0.0,10.0,23.076923076923077
"['RSP', 'PM', 'AM']",12.5,30.0,0.0,6.097560975609756
"['RSP', 'PM', 'LM']",12.5,0.0,16.666666666666668,31.70731707317073
"['RSP', 'PM']",3.821656050955414,0.0,4.761904761904762,8.12807881773399
['RSP'],3.110047846889952,1.75,1.3530135301353015,1.547029702970297
